t,ax,ay,az,gx,gy,gz
993681480,0.0371,-0.0457,0.9158,-11.3525,1.0376,7.9956
993691477,0.0549,-0.0403,0.9122,-10.8032,-1.0986,10.7422
993701485,0.0440,-0.0616,0.9258,-10.4370,-8.9111,10.8643
993711481,0.0540,-0.0535,0.9590,-9.8877,-16.3574,11.2915
993721480,0.0623,-0.0543,1.0208,-7.3853,-27.7100,12.0850
993731480,0.0664,-0.0530,1.0533,-5.0659,-34.3628,13.3057
993741485,0.0635,-0.0416,1.0572,-2.0142,-38.5742,17.2119
993751480,0.0864,-0.0303,1.0569,0.0610,-37.9639,18.5547
993761491,0.1333,-0.0398,0.9920,3.5400,-28.0762,19.8364
993771485,0.1655,-0.0511,0.9478,2.3193,-19.4092,17.8833
993781480,0.2090,-0.0630,0.9368,-0.3662,-11.9629,15.0757
993791485,0.1858,-0.0716,0.9542,-5.8594,-5.9814,7.8125
993801480,0.1292,-0.0853,0.9725,-6.8359,-5.1270,2.7466
993811485,-0.0171,-0.1011,0.9630,-7.5073,-6.3477,-0.1831
993821485,-0.0969,-0.1148,0.9488,-8.4229,-5.3101,2.7466
993831481,-0.1406,-0.1011,0.9510,-8.6060,-3.7231,10.0098
993841485,-0.1628,-0.1087,0.9549,-9.1553,-3.1738,15.6250
993851480,-0.1091,-0.1014,0.9412,-10.2539,0.2441,25.4517
993861481,-0.0891,-0.0914,0.9715,-11.6577,-0.9155,28.8696
993871480,-0.0442,-0.0923,1.0076,-12.8174,-3.4180,34.3628
993881480,-0.0115,-0.0899,1.0443,-12.5122,-7.4463,35.8276
993891480,0.0278,-0.0816,1.0985,-10.1929,-13.4888,34.9121
993901489,0.0293,-0.0923,1.1302,-8.2397,-15.1367,32.9590
993911479,0.0134,-0.0999,1.1522,-3.4790,-13.3667,31.8604
993921487,-0.0129,-0.1055,1.1473,-1.4038,-10.0708,32.7148
993931479,-0.0290,-0.0916,1.0850,1.4038,-3.9673,36.4380
993941480,-0.0310,-0.0953,1.0601,2.1362,-1.0986,38.3301
993951479,-0.0117,-0.0877,1.0299,0.6104,2.3193,42.7246
993961477,-0.0110,-0.0897,1.0374,-0.2441,0.2441,44.2505
993971479,0.0234,-0.0992,1.0889,-1.4648,-4.3335,48.7061
993981481,0.0762,-0.0923,1.1321,-1.6479,-7.2021,50.5371
993991480,0.1597,-0.0848,1.1705,0.3052,-8.6060,49.4385
994001485,0.1804,-0.0875,1.1859,1.1597,-6.7749,45.4102
994011484,0.1802,-0.0980,1.1932,1.2207,-2.8687,41.9312
994021485,0.1326,-0.1168,1.2271,1.0986,2.0752,37.7197
994031484,0.0823,-0.1326,1.2586,2.1362,4.8828,37.8418
994041477,0.0203,-0.1331,1.2852,4.2725,5.9204,43.2129
994051484,0.0090,-0.1417,1.3121,7.9956,5.0049,47.1802
994061480,0.0576,-0.1297,1.2945,14.3433,6.7749,53.5278
994071479,0.0681,-0.1387,1.2835,17.8833,7.8125,55.1147
994081481,0.1157,-0.1297,1.2393,20.3247,9.8267,58.6548
