t,ax,ay,az,gx,gy,gz
672379481,-0.1122,0.0957,0.9904,-0.8545,1.5869,0.4272
672389483,-0.1054,0.0930,0.9896,-0.9766,0.9155,0.1221
672399476,-0.1000,0.1050,1.0009,-0.0610,0.4883,-2.3193
672409477,-0.1027,0.1084,1.0033,1.5259,-0.1831,-3.9062
672419473,-0.1120,0.1106,0.9997,2.5024,0.0610,-4.3335
672429477,-0.1115,0.1199,0.9901,1.6479,0.3662,-3.4790
672439476,-0.0995,0.1211,0.9901,1.6479,0.4272,-3.0518
672449482,-0.0819,0.1248,0.9960,0.3052,1.4648,-3.4790
672459471,-0.0749,0.1284,1.0011,0.3662,2.3193,-4.4556
672469477,-0.0678,0.1262,1.0084,2.1362,4.0283,-7.3242
672479477,-0.0712,0.1218,1.0067,3.2959,4.9438,-9.0942
672489477,-0.0785,0.1187,1.0072,4.5776,7.3853,-11.0474
672499478,-0.0812,0.1218,1.0016,5.6763,8.7280,-12.5122
672509472,-0.0944,0.1206,0.9965,8.9722,9.7656,-16.7236
672519476,-0.1222,0.1236,0.9840,11.7187,9.7046,-19.8975
672529477,-0.1820,0.1304,0.9411,13.3057,12.3291,-22.5220
672539481,-0.2345,0.1316,0.9132,12.3901,16.6016,-24.1699
672549482,-0.3490,0.1126,0.8969,9.5825,23.9258,-25.6958
672559481,-0.4562,0.0611,0.8856,11.2305,25.6348,-25.7568
672569477,-0.7746,-0.0300,0.9061,26.0010,14.1602,-28.0762
672579476,-1.0666,-0.1367,0.9596,45.6543,-6.2866,-31.9214
672589477,-1.5604,-0.3523,1.0438,80.1392,-39.6729,-14.4043
672599476,-1.9650,-0.5339,1.0314,95.3369,-59.5703,15.0757
672609477,-2.3986,-0.7854,0.9594,83.5571,-63.1714,104.3091
672619477,-2.4103,-0.9678,0.8727,39.3066,-45.3491,208.7402
672629478,-1.9882,-1.0073,0.5573,-40.5273,10.8032,390.3809
672639476,-1.5980,-0.9294,0.3051,-99.3652,62.6831,467.3462
672649477,-1.2965,-0.7534,0.0951,-165.9546,106.9946,506.5918
672659476,-1.3224,-0.8830,0.0009,-183.0444,112.2437,504.2725
672669482,-1.2943,-1.0469,-0.0707,-191.4062,104.3091,510.6812
672679487,-0.9892,-1.3669,0.0011,-238.5864,87.2192,536.9263
672689477,-0.6000,-1.5681,0.2699,-269.7754,68.9087,553.8330
672699477,0.2425,-1.8325,0.8900,-306.7017,49.9878,563.4155
