t,ax,ay,az,gx,gy,gz
662279476,-0.2289,0.1741,0.9035,5.3711,-6.5918,4.2114
662289475,-0.1994,0.1792,0.8947,1.5259,-7.6904,9.4604
662299478,-0.1706,0.1909,0.8996,-3.1128,-6.1035,11.0474
662309478,-0.1190,0.1958,0.9235,-8.7280,-1.8311,12.0239
662319476,-0.1029,0.2141,0.9357,-11.1694,3.3569,11.4136
662329478,-0.0893,0.2212,0.9391,-14.3433,8.4229,10.0098
662339476,-0.0856,0.2290,0.9474,-15.9912,9.2163,8.7280
662349479,-0.0758,0.2349,0.9799,-16.7236,10.4370,7.2632
662359476,-0.0739,0.2427,1.0053,-17.7612,10.8643,8.3618
662369477,-0.0480,0.2493,1.0380,-15.7471,8.9111,9.9487
662379476,-0.0355,0.2539,1.0451,-11.7798,6.0425,9.6436
662389478,0.0062,0.2688,1.0600,-6.4087,1.2817,7.5684
662399475,0.0392,0.2764,1.0673,-3.4790,-1.4038,5.7983
662409477,0.0912,0.2920,1.0626,3.2349,-4.3335,1.4648
662419477,0.1148,0.3052,1.0573,7.3242,-5.2490,-3.7231
662429477,0.1212,0.3233,1.0426,15.1367,-7.5073,-12.6953
662439487,0.0958,0.3262,1.0236,21.9116,-9.6436,-20.3247
662449477,0.0462,0.3118,0.9816,31.1279,-12.6953,-30.0293
662459476,0.0208,0.2991,0.9596,32.4097,-11.9019,-33.9355
662469477,-0.0092,0.3135,0.9130,27.7710,-7.2021,-35.9497
662479477,-0.0177,0.3218,0.8808,24.3530,-1.9531,-37.8418
662489477,-0.0436,0.3198,0.8412,17.5781,10.0708,-45.4102
662499476,-0.0941,0.3233,0.8292,12.0239,22.6440,-51.4526
662509477,-0.1791,0.2913,0.8029,5.9204,37.8418,-58.7769
662519476,-0.3808,0.1255,0.7467,-3.5400,58.3496,-73.1812
662529477,-0.5382,-0.0117,0.7577,-13.4888,70.2515,-82.0313
662539476,-0.8737,-0.2751,0.7711,-22.8271,83.6182,-84.5337
662549478,-1.2238,-0.4568,0.7838,-24.1089,87.4634,-73.2422
662559476,-2.0929,-0.6150,0.8207,-11.1694,74.8901,-55.2979
662569477,-2.6942,-0.7776,0.7916,14.7705,45.7764,-20.8740
662579476,-3.2155,-0.9316,0.5829,15.2588,14.9536,100.0977
662589477,-3.0722,-0.9272,0.4257,-25.0854,7.8125,212.8296
662599476,-2.3002,-0.9275,0.3060,-70.4346,2.2583,341.8579
662609477,-1.7162,-1.0195,0.2655,-103.0884,14.7095,391.7847
662619481,-0.9706,-1.1042,0.3700,-153.5034,48.8281,431.0303
662629477,-0.6452,-1.1028,0.5185,-181.0913,68.9087,435.0586
662639481,-0.2633,-1.0744,0.8637,-193.4814,73.1201,427.1240
662649482,0.0260,-1.0759,1.1354,-187.7441,65.6738,419.0674
662659476,0.5665,-0.8926,1.4931,-173.0957,46.8140,403.9917
662669477,0.9537,-0.7600,1.6354,-154.9683,37.2314,388.4888
662679476,1.4891,-0.5263,1.7348,-131.0425,22.0337,354.4922
662689482,1.7960,-0.3476,1.7672,-119.5068,15.5029,324.4019
662699476,2.0050,-0.1086,1.7536,-93.3838,14.5264,256.7749
662709477,2.0326,0.0149,1.7206,-68.5425,14.1602,209.3506
662719481,2.0768,0.0852,1.6823,-52.6123,6.5308,161.9873
662729477,2.2220,0.1206,1.7484,-58.8379,-2.2583,142.1509
662739476,2.5128,0.1873,1.8546,-65.6738,-11.8408,117.0654
662749477,2.9549,0.2681,1.9162,-53.4668,-9.2163,63.5986
662759476,3.0060,0.2529,1.8649,-32.2876,6.3477,20.8130
662769477,2.7149,0.1240,1.6532,-0.6104,28.1982,-53.5278
662779476,2.4686,0.0156,1.4809,19.8364,27.8931,-102.3560
662789477,2.0934,-0.1167,1.3766,39.2456,5.8594,-166.6260
662799476,1.8639,-0.1965,1.3805,53.6499,-18.4937,-208.8013
662809482,1.5931,-0.3225,1.4115,75.4395,-59.2651,-261.2915
662819476,1.4564,-0.4284,1.4152,89.2944,-77.2095,-289.6729
662829477,1.2496,-0.5857,1.3808,100.3418,-88.4399,-331.2378
662839476,1.0633,-0.6780,1.3615,105.5298,-87.3413,-355.8960
662849477,0.6974,-0.8056,1.3366,113.7085,-81.8481,-390.0146
662859476,0.4635,-0.8672,1.3490,109.0698,-77.0874,-406.8604
662869482,0.2345,-0.9709,1.3263,86.1816,-55.2979,-409.1187
662879476,0.0565,-1.0158,1.2997,72.9980,-34.9121,-409.1797
662889480,-0.3251,-1.0730,1.2352,72.7539,-8.6670,-419.1284
662899482,-0.6125,-1.1245,1.1652,82.3364,-4.4556,-415.8936
662909477,-0.9599,-1.1631,1.1161,94.0552,3.4180,-403.3813
662919478,-1.1808,-1.1965,1.0551,101.3184,10.2539,-395.6909
662929478,-1.4657,-1.2934,1.0456,114.3188,8.1787,-372.3145
662939477,-1.6378,-1.3176,1.0736,115.2954,6.4697,-357.2998
662949477,-1.9413,-1.2898,1.0524,132.1411,6.2866,-334.6558
662959482,-2.1225,-1.3462,0.9472,157.0435,7.3853,-312.9272
662969477,-2.3703,-1.3723,0.7653,169.3115,15.0757,-273.9868
662979482,-2.8063,-1.2077,0.4757,140.0757,34.6680,-179.6875
662989477,-2.9640,-1.1201,0.2985,109.6191,37.1704,-100.5249
662999483,-2.9748,-0.9668,0.0189,70.0073,31.7993,14.9536
663009477,-2.8039,-0.7720,-0.0829,32.2266,23.1323,90.8203
663019477,-2.4835,-0.6865,-0.1053,-23.3154,22.6440,180.4199
663029477,-2.3029,-0.7055,-0.1302,-47.8516,24.4751,235.8398
663039477,-2.0651,-0.7400,-0.0711,-118.5303,37.7808,325.6836
663049479,-1.8476,-0.7915,0.0568,-163.9404,43.0908,380.9204
663059482,-1.4416,-0.9072,0.2894,-204.2236,40.7104,440.0024
663069482,-1.1435,-0.9990,0.4840,-223.5107,36.0718,466.2476
663079477,-0.5502,-1.1958,0.8993,-241.4551,22.8882,488.9526
663089482,-0.0287,-1.2456,1.2323,-244.9341,9.9487,496.3379
663099477,0.9562,-1.1492,1.8129,-237.7930,-18.6157,478.8208
663109477,1.6231,-0.9062,1.9901,-223.2056,-38.2690,452.3315
663119482,2.4249,-0.2820,2.0551,-172.4243,-3.7842,382.5684
663129477,2.3709,0.0635,1.8966,-116.7603,29.6631,287.8418
663139477,1.6417,0.2144,1.5836,-0.7935,34.9121,163.4521
663149479,1.1605,0.1345,1.4569,43.0908,26.6724,109.9854
663159472,0.8517,0.1433,1.3400,35.6445,16.5405,96.9238
663169477,0.9415,0.1983,1.3075,7.9956,16.8457,106.8726
663179477,1.2464,0.2471,1.2814,-25.2075,33.8135,114.9902
663189478,1.3978,0.2852,1.2396,-27.0996,44.9829,94.0552
663199477,1.4305,0.3081,1.1825,-18.5547,52.5513,63.9648
