t,ax,ay,az,gx,gy,gz
907989473,-0.0836,0.1323,0.9862,2.9907,2.9907,-10.6201
907999476,-0.1139,0.1270,1.0016,6.1646,6.3477,-10.7422
908009477,-0.1334,0.1306,0.9962,7.8125,7.0190,-10.8643
908019477,-0.1415,0.1255,0.9777,11.5967,5.0049,-10.3760
908029477,-0.1396,0.1262,0.9743,11.9629,4.3335,-11.5356
908039476,-0.1542,0.1238,0.9850,9.1553,5.6763,-12.6953
908049483,-0.1605,0.1167,0.9911,8.4839,8.1787,-11.9629
908059481,-0.1691,0.1077,0.9882,9.8877,14.5874,-12.2681
908069482,-0.1654,0.0984,0.9972,12.0239,18.4937,-13.9771
908079476,-0.2104,0.0513,1.0346,22.5220,20.1416,-22.3999
908089477,-0.2426,0.0222,1.0707,32.7759,15.2588,-29.2358
908099477,-0.3434,-0.0657,1.1317,49.8047,6.1646,-36.0107
908109477,-0.4645,-0.1472,1.1293,62.9272,-1.3428,-34.5459
908119476,-0.6757,-0.2659,1.0800,72.4487,-9.2163,-26.4893
908129477,-0.8185,-0.3547,1.0465,73.9136,-9.3384,-19.3481
908139476,-0.9748,-0.4165,1.0475,70.3735,-6.5308,-1.8311
908149478,-1.3981,-0.4973,1.0607,60.4248,-1.3428,38.5742
908159476,-1.7982,-0.6223,1.0775,69.0918,-9.4604,69.3359
908169487,-2.2985,-0.8769,0.9494,98.3276,-33.8745,141.6626
908179476,-2.3258,-0.9909,0.6581,97.5342,-40.9546,224.7925
908189478,-1.9208,-1.0058,0.2526,27.0996,-23.6816,358.4595
908199476,-1.6442,-1.0073,0.1593,-42.7856,6.7139,427.1851
908209477,-1.3009,-1.1672,0.2028,-108.7646,33.5083,516.9067
908219476,-1.0917,-1.2781,0.3090,-138.4888,39.5508,575.1953
908229478,-0.6435,-1.4429,0.5790,-179.3823,29.9683,633.5449
908239477,-0.3104,-1.5984,0.7555,-177.0020,5.7373,652.4658
908249477,0.2130,-1.7756,0.9706,-145.6909,-36.8042,655.2124
908259476,0.7296,-1.7612,1.1544,-122.6196,-65.4907,647.0337
908269484,1.6971,-1.4873,1.3380,-77.3926,-92.8345,616.4551
908279475,2.3468,-1.0989,1.4047,-46.5088,-90.5151,573.6694
908289477,3.1830,-0.3528,1.5036,-41.7480,-50.4761,463.6230
908299481,3.4305,-0.0571,1.5158,-43.8232,-5.1270,372.8027
908309499,3.0875,0.0044,1.4298,-23.1323,44.9829,233.2153
908319471,2.6620,-0.0954,1.3659,4.5776,49.6826,157.8979
908329482,2.3265,-0.1662,1.3017,10.9863,44.9219,105.1636
908339476,2.4005,-0.1848,1.3126,-0.3662,42.2974,82.9468
908349477,2.6898,-0.1025,1.4083,-8.9111,45.0439,37.3535
908359476,2.8260,-0.0408,1.4206,1.1597,50.7202,-7.9346
908369474,2.8961,-0.0237,1.3224,37.8418,54.7485,-97.8394
908379478,2.8365,-0.0959,1.1832,60.3027,55.4810,-159.2407
908389477,2.6202,-0.2326,1.0243,76.1719,55.9692,-215.3931
908399481,2.2276,-0.4048,0.8468,75.9888,52.6733,-288.9404
908409482,1.9569,-0.5256,0.8170,44.1284,51.2085,-317.5049
908419476,1.5338,-0.7873,0.9335,4.4556,40.4053,-358.3374
908429482,1.2381,-0.9260,1.0497,2.1362,31.0669,-386.4136
908439481,0.9049,-0.9658,1.1757,10.1318,24.4751,-402.4658
908449482,0.7845,-0.9907,1.1964,13.7939,28.1372,-405.5176
