t,ax,ay,az,gx,gy,gz
61433486,-0.0843,0.5895,0.8251,6.7139,1.4038,2.0142
61443481,-0.0789,0.5785,0.8317,6.7139,-0.0610,1.7700
61453481,-0.0787,0.5731,0.8410,6.2256,2.4414,1.4038
61463481,-0.0850,0.5990,0.8302,6.8359,2.8076,1.3428
61473482,-0.0843,0.6002,0.8219,8.2397,0.4883,2.5024
61483483,-0.0769,0.5778,0.8371,7.5073,0.2441,4.4556
61493481,-0.0777,0.5707,0.8395,7.3242,2.0142,6.0425
61503482,-0.0767,0.5836,0.8283,8.7891,1.6479,4.8218
61513482,-0.0733,0.5834,0.8324,8.7891,1.1597,1.7700
61523481,-0.0694,0.5841,0.8383,7.6294,1.5869,1.5869
61533481,-0.0699,0.5868,0.8383,7.0190,1.8921,2.8687
61543481,-0.0708,0.5870,0.8307,7.6294,2.0142,3.5400
61553481,-0.0713,0.5785,0.8307,8.7280,2.0752,4.4556
61563486,-0.0691,0.5746,0.8346,8.5449,2.3804,4.0894
61573481,-0.0672,0.5787,0.8293,7.7515,3.1128,2.6245
61583486,-0.0699,0.5795,0.8278,7.5684,3.1128,1.6479
61593481,-0.0701,0.5792,0.8337,7.5073,3.8452,0.4272
61603481,-0.0752,0.5846,0.8293,7.5073,4.5776,-0.1221
61613482,-0.0716,0.5912,0.8266,7.1411,5.0659,-0.6714
61623482,-0.0713,0.5897,0.8271,6.5308,5.6152,-1.0986
61633481,-0.0772,0.5885,0.8268,6.7139,7.2632,-0.6714
61643482,-0.0743,0.5902,0.8212,6.5918,7.6294,-1.5259
61653482,-0.0782,0.5824,0.8173,4.6997,8.1787,-5.2490
61663483,-0.0821,0.5800,0.8227,3.7842,9.2163,-7.6294
61673483,-0.0801,0.5792,0.8283,3.3569,9.3994,-8.7280
61683483,-0.0870,0.5946,0.8302,4.3945,9.2163,-8.4839
61693478,-0.0896,0.6046,0.8390,5.5542,8.2397,-6.3477
61703481,-0.0957,0.6036,0.8495,5.7983,5.7373,-3.2349
61713482,-0.0940,0.6002,0.8559,5.9204,3.8452,-1.0986
61723512,-0.0894,0.5824,0.8454,6.5918,2.3193,1.9531
61733482,-0.0850,0.5651,0.8356,6.1646,1.8921,1.1597
61743481,-0.0794,0.5560,0.8300,6.1646,2.1362,-1.2207
61753481,-0.0813,0.5604,0.8239,6.7139,3.3569,-2.1362
61763481,-0.0806,0.5768,0.8251,6.6528,4.7607,-2.8687
61773482,-0.0870,0.5817,0.8288,6.2866,5.0659,-3.7231
61783481,-0.0865,0.5953,0.8319,6.3477,5.3711,-4.0894
61793482,-0.0945,0.6017,0.8300,6.1646,5.4321,-3.4790
61803481,-0.0965,0.6002,0.8297,5.4321,5.6763,-3.1128
61813482,-0.0967,0.5934,0.8285,5.1270,5.3101,-2.0752
61823486,-0.1019,0.5761,0.8271,5.5542,4.9438,-1.5869
61833486,-0.0984,0.5800,0.8307,6.2256,4.6997,-1.2207
61843482,-0.1011,0.5748,0.8356,6.6528,5.0049,-0.4883
61853481,-0.0965,0.5702,0.8344,6.0425,4.8828,-1.2817
61863482,-0.0965,0.5663,0.8376,5.7983,4.6387,-2.6855
61873482,-0.0940,0.5704,0.8378,6.2866,4.5166,-3.0518
61883481,-0.0979,0.5736,0.8373,6.7749,4.5166,-3.7842
61893485,-0.0962,0.5770,0.8407,5.9814,4.8828,-4.7607
61903480,-0.0967,0.5812,0.8366,5.1880,4.9438,-5.6152
61913481,-0.0972,0.5790,0.8361,5.2490,4.8218,-5.7373
61923480,-0.0994,0.5878,0.8354,5.9814,5.5542,-4.3335
61933481,-0.1065,0.5988,0.8398,8.2397,3.9673,1.2817
61943481,-0.1014,0.5870,0.8388,7.8735,3.2959,3.2959
61953486,-0.1055,0.5780,0.8339,6.2256,3.1128,2.5635
61963485,-0.1106,0.5783,0.8273,6.3477,2.9297,1.6479
61973482,-0.1089,0.5836,0.8280,7.3853,2.3804,1.1597
61983480,-0.1075,0.5829,0.8271,7.3853,2.8687,1.2207
61993483,-0.1099,0.5885,0.8251,7.6294,3.1128,1.2207
62003480,-0.1058,0.5907,0.8236,7.9956,2.8687,1.5259
62013482,-0.1072,0.5939,0.8273,7.6904,3.1128,1.5869
62023498,-0.1087,0.5892,0.8271,6.9580,2.9907,1.2817
62033481,-0.1014,0.5795,0.8315,6.4697,2.5635,1.6479
62043485,-0.1014,0.5734,0.8324,6.6528,2.3804,1.7700
62053478,-0.0992,0.5714,0.8339,6.7139,2.6245,0.7935
62063480,-0.1019,0.5783,0.8361,6.5308,2.6245,0.1221
62073486,-0.1023,0.5851,0.8429,7.0190,1.7700,0.1221
62083481,-0.1055,0.5814,0.8417,6.6528,1.2207,0.3052
62093482,-0.1004,0.5736,0.8393,6.2256,0.6104,-0.1221
62103482,-0.0992,0.5687,0.8317,6.4087,0.7324,-0.4272
62113483,-0.0972,0.5631,0.8300,6.7139,1.0376,-1.4648
62123480,-0.0957,0.5680,0.8271,6.5308,1.6479,-2.5024
62133528,-0.1006,0.5768,0.8293,6.2256,2.9297,-4.2114
62143477,-0.1058,0.5866,0.8288,6.0425,3.4180,-4.9438
62153481,-0.1033,0.5902,0.8273,5.4932,3.6621,-5.6763
62163480,-0.1153,0.5870,0.8341,4.3945,3.2349,-5.9814
62173478,-0.1111,0.5848,0.8310,4.8828,2.7466,-5.4321
62183485,-0.1094,0.5807,0.8305,5.7983,2.5024,-2.2583
62193482,-0.1126,0.5765,0.8305,5.8594,2.6245,-1.5869
62203480,-0.1092,0.5729,0.8315,5.4321,2.4414,-2.2583
62213481,-0.1099,0.5729,0.8322,5.7983,2.7466,-2.5024
62223485,-0.1104,0.5712,0.8339,6.2256,2.7466,-2.8076
62233483,-0.1121,0.5734,0.8346,6.0425,3.0518,-2.7466
