t,ax,ay,az,gx,gy,gz
644053481,0.2670,-0.0509,0.9335,-185.9131,-61.3403,48.9502
644063481,0.2841,-0.1417,1.0363,-169.9829,-22.9492,22.7661
644073482,0.2834,-0.1503,1.0153,-133.3618,-13.9771,0.2441
644083485,0.1906,-0.1041,1.0358,-70.9229,-25.5127,-27.8320
644093481,0.1665,-0.0907,1.0434,-34.6680,-27.6489,-44.1895
644103481,0.1479,-0.1149,1.0461,7.3242,-18.7988,-62.5610
644113481,0.1616,-0.1551,1.0180,21.4844,-1.4038,-65.9180
644123481,0.1826,-0.2714,1.0160,15.4419,31.9214,-51.3306
644133481,0.1877,-0.3080,1.0631,1.0986,18.8599,-28.2593
644143481,0.1484,-0.3014,1.1059,-44.6167,2.5635,5.7373
644153482,0.0705,-0.2926,1.1059,-86.5479,-7.9346,22.5830
644163481,0.0012,-0.3419,1.0607,-122.0703,-50.7202,40.2222
644173481,0.1025,-0.4027,1.0085,-164.9780,-127.9297,60.3638
644183480,0.1980,-0.4376,0.9525,-187.6831,-133.1787,59.5093
644193483,0.2763,-0.4737,0.9088,-219.8486,-89.4775,39.9780
644203485,0.2600,-0.4852,0.8666,-227.2949,-55.8472,21.7285
644213482,0.2180,-0.4989,0.7875,-216.6138,-36.4380,0.9155
644223485,0.2495,-0.4852,0.7492,-193.6035,-44.1895,-4.8218
644233482,0.3176,-0.5192,0.7348,-155.1514,-51.5137,-5.6763
644243482,0.3535,-0.5741,0.7453,-130.2490,-45.8984,-1.5869
644253482,0.3542,-0.5897,0.7516,-100.5249,-15.9912,4.3945
644263481,0.3391,-0.5873,0.7384,-89.0503,1.8311,7.1411
644273499,0.3515,-0.6407,0.7199,-80.2612,14.7095,21.6064
644283480,0.2168,-0.6573,0.7978,-84.6558,-15.2588,46.2646
644293482,0.1674,-0.6700,0.9701,-123.7183,-153.4424,81.7261
644303485,0.1694,-0.6100,1.0934,-187.3169,-268.8599,102.5391
644313482,0.4465,-0.6671,0.9792,-316.5283,-353.2715,92.8955
644323481,0.6330,-0.6886,0.8232,-375.5493,-231.0181,61.5845
644333482,0.4843,-0.6351,0.5006,-386.9019,44.7388,16.6016
644343480,0.3398,-0.6119,0.3017,-322.4487,160.4614,13.7939
644353481,0.2465,-0.5734,0.2077,-193.6035,235.9009,9.7046
644363485,0.2678,-0.6407,0.2023,-118.2861,205.2002,7.5684
644373483,0.3415,-0.7535,0.2946,-45.3491,134.8877,20.8130
644383535,0.2646,-0.8815,0.4450,-28.3203,121.8262,36.6211
644393481,0.1433,-0.9467,0.5478,-33.9966,153.3813,68.1763
644403481,0.2463,-0.8988,0.5988,-51.1475,231.2622,109.4360
644413482,0.2880,-0.8768,0.6051,-54.8096,231.3843,98.3887
644423485,0.1872,-0.9037,0.6295,-71.6553,216.9189,75.1953
644433482,0.1062,-0.9144,0.5949,-86.4868,209.1675,55.8472
644443481,0.1001,-0.8964,0.4909,-101.3184,184.0210,32.4707
644453482,0.1023,-0.8788,0.4289,-99.6704,170.2271,24.1089
