t,ax,ay,az,gx,gy,gz
98713481,0.6799,-0.1954,0.7614,9.5215,6.8970,3.3569
98723485,0.6867,-0.2037,0.7646,10.3760,6.2866,4.5166
98733482,0.6914,-0.1974,0.7585,10.4370,8.1787,4.6387
98743480,0.6933,-0.1952,0.7609,9.2163,10.1318,3.6011
98753481,0.7009,-0.2006,0.7626,9.3384,10.5591,3.6011
98763480,0.7158,-0.2054,0.7648,9.6436,12.0239,2.5635
98773483,0.7077,-0.2067,0.7682,9.0332,13.1226,0.9766
98783480,0.7043,-0.2115,0.7751,8.6670,12.5122,0.2441
98793481,0.6962,-0.2084,0.7721,8.3008,11.5356,0.4883
98803481,0.6945,-0.2089,0.7658,7.7515,7.8125,1.5259
98813482,0.6989,-0.2091,0.7660,5.5542,4.5776,2.0142
98823485,0.7002,-0.2030,0.7712,3.2349,-0.2441,2.5635
98833482,0.6960,-0.2042,0.7687,3.0518,-1.7700,2.9907
98843481,0.7033,-0.2025,0.7621,1.7090,-3.2959,3.0518
98853481,0.7045,-0.2047,0.7680,0.1221,-2.1362,2.1973
98863480,0.6950,-0.2008,0.7670,0.3052,-0.7324,0.3662
98873481,0.6960,-0.2057,0.7690,0.3052,0.1221,0.2441
98883480,0.6870,-0.2057,0.7765,0.7935,2.2583,-0.1831
98893480,0.6809,-0.2059,0.7748,1.0376,1.7090,0.6714
98903481,0.6799,-0.2052,0.7802,0.6714,1.9531,1.8311
98913478,0.6750,-0.2050,0.7856,0.1831,1.1597,2.3193
98923481,0.6623,-0.1996,0.7875,0.3662,-0.3662,3.4180
98933481,0.6596,-0.1964,0.7926,0.8545,-1.5259,5.8594
98943478,0.6604,-0.1988,0.7965,2.0752,-1.8311,7.4463
98953486,0.6572,-0.2006,0.7973,2.8687,-1.0376,8.6670
98963482,0.6533,-0.2032,0.8014,4.2114,-1.5869,10.3149
98973481,0.6716,-0.2071,0.8014,6.3477,-1.8921,13.5498
98983483,0.6850,-0.2084,0.8073,7.7515,-0.7324,13.6719
98993481,0.7033,-0.2123,0.8056,10.2539,4.2114,11.0474
99003486,0.7011,-0.2186,0.7875,12.3291,5.3711,8.3008
99013486,0.6987,-0.2406,0.7394,7.4463,-4.5776,10.6812
99023481,0.7121,-0.2423,0.7587,9.9487,0.5493,4.3945
99033481,0.6984,-0.2384,0.7572,6.8359,6.2866,-0.6104
99043482,0.6945,-0.2362,0.7589,5.5542,6.2256,-1.9531
99053482,0.6892,-0.2384,0.7611,4.0283,2.1973,-0.5493
99063483,0.6840,-0.2328,0.7629,3.0518,2.0752,-1.9531
99073481,0.6770,-0.2406,0.7714,1.2207,0.7935,-1.1597
99083481,0.6823,-0.2377,0.7790,0.6104,-0.4272,0.0000
99093483,0.6809,-0.2240,0.7865,1.1597,-0.7935,-0.4272
99103481,0.6882,-0.2240,0.7914,2.3193,1.3428,-0.9155
99113482,0.6814,-0.2233,0.7863,4.3335,4.3945,-2.5024
99123486,0.6823,-0.2174,0.7824,5.1880,5.1270,-2.5024
99133481,0.6804,-0.2203,0.7755,5.6152,4.9438,-1.8921
99143482,0.6721,-0.2125,0.7777,5.4321,5.1270,-1.9531
99153481,0.6689,-0.2130,0.7816,5.4321,5.6152,-1.0986
99163483,0.6711,-0.2154,0.7795,5.5542,5.4321,-0.4883
99173481,0.6672,-0.2162,0.7763,5.3101,4.6387,0.9155
99183481,0.6696,-0.2213,0.7699,4.8828,2.8076,1.9531
99193482,0.6772,-0.2211,0.7714,3.7231,1.4648,2.3804
99203482,0.6806,-0.2135,0.7829,3.9673,3.0518,2.9297
99213482,0.6770,-0.2174,0.7733,5.1270,4.8218,2.0142
99223482,0.6826,-0.2247,0.7777,4.4556,8.1787,0.3662
99233481,0.6814,-0.2164,0.7755,5.0659,9.2163,-1.2207
99243482,0.6638,-0.2259,0.7633,4.3335,8.6670,-1.5259
99253483,0.6557,-0.2306,0.7621,2.3193,5.0659,0.4272
99263481,0.6645,-0.2360,0.7899,0.6104,2.6245,4.5776
99273486,0.6550,-0.2306,0.7939,2.4414,3.5400,3.4790
