t,ax,ay,az,gx,gy,gz
489313481,-0.0342,-0.0646,1.0370,7.3242,2.2583,-18.7378
489323486,0.1027,-0.0048,1.0631,6.2256,1.0376,-9.8877
489333481,0.0971,0.0101,1.0526,6.3477,1.7700,0.6714
489343486,0.0690,0.0001,1.0373,6.8359,1.9531,0.3052
489353478,0.0278,-0.0118,1.0402,7.0801,1.7700,-0.7935
489363478,0.0302,-0.0118,1.0365,6.9580,1.9531,-0.4272
489373481,0.0715,-0.0062,1.0434,6.6528,1.7090,1.5259
489383482,0.0617,0.0079,1.0419,6.9580,2.1973,0.1221
489393486,0.0471,0.0011,1.0426,6.6528,2.0142,0.8545
489403478,0.0412,-0.0040,1.0441,6.8359,2.0142,0.8545
489413481,0.0402,-0.0072,1.0421,7.0190,2.0752,0.9766
489423481,0.0410,-0.0021,1.0402,6.7749,2.0752,1.4648
489433486,0.0461,-0.0001,1.0446,6.7749,1.7700,1.1597
489443482,0.0432,-0.0040,1.0385,6.7749,2.0142,1.0376
489453482,0.0346,-0.0092,1.0404,6.9580,1.9531,1.1597
489463486,0.0073,-0.0089,1.0421,7.1411,2.0142,4.4556
489473482,0.0346,0.0057,1.0512,6.8970,1.7700,10.2539
489483486,0.0478,0.0309,1.1757,7.4463,-11.4746,16.8457
489493481,0.0532,0.0516,1.1918,10.0708,-26.0010,14.7095
489503482,0.0192,0.0045,1.1613,27.5879,-51.9409,12.4512
489513481,-0.0022,-0.0111,1.1357,40.2222,-50.6592,13.8550
489523478,-0.0430,0.0521,1.1625,42.4194,-3.5400,4.3945
489533481,-0.0047,0.0900,1.1693,39.0625,46.8750,-11.4746
489543481,0.0644,0.0209,1.1562,52.7344,82.0313,-25.0854
489553536,0.0961,-0.0084,1.1144,67.6880,85.9985,-22.3389
489563482,0.1159,-0.0231,1.0461,65.4907,67.5659,-25.9399
489573486,0.1230,-0.0221,1.0285,52.0630,45.8984,-34.0576
489583482,0.0954,0.0226,1.0456,36.6211,20.2026,-34.9731
489593482,0.0571,0.0680,1.0712,29.9072,7.5684,-26.1230
489603481,0.0146,0.1012,1.1169,26.4893,-7.6294,-15.0757
489613482,0.0122,0.1095,1.1432,26.5503,-14.0381,-8.4839
489623481,-0.0069,0.1090,1.1776,27.3438,-17.0288,1.6479
489633481,-0.0152,0.1080,1.2223,30.2124,-13.4888,3.7842
489643481,-0.0000,0.0961,1.2753,36.1938,6.8359,0.7935
489653486,0.0266,0.0824,1.2741,41.3208,22.5220,1.6479
489663483,0.0761,0.0607,1.2470,48.4619,38.6353,-4.2725
489673482,0.0954,0.0675,1.2267,51.0254,50.5371,-13.3667
489683482,0.0659,0.0988,1.1820,47.9126,62.6831,-30.4565
489693486,0.0202,0.1156,1.1510,44.1895,58.2275,-36.8652
489703481,-0.0147,0.1488,1.1239,39.7949,40.8325,-34.0576
489713483,-0.0613,0.1569,1.1151,35.5225,13.1836,-21.3623
489723481,-0.0926,0.1554,1.1156,32.4707,4.8828,-13.7939
489733481,-0.1123,0.1591,1.1449,26.6113,1.6479,-9.2773
489743482,-0.1016,0.1647,1.1816,22.8882,3.1738,-12.1460
489753481,-0.0667,0.1698,1.2409,18.6768,4.6997,-16.1133
489763482,-0.0611,0.1625,1.2521,18.7988,0.6714,-13.0005
489773481,-0.0452,0.1539,1.2599,21.4844,-12.8174,-3.2349
489783482,-0.0320,0.1520,1.2482,22.9492,-22.3389,-0.0610
489793482,-0.0247,0.1456,1.2519,22.6440,-36.0718,3.2959
489803481,-0.0198,0.1613,1.2699,23.0713,-39.7949,4.7607
489813482,-0.0105,0.1827,1.2987,23.3154,-36.8042,3.6011
489823481,-0.0096,0.1837,1.3178,26.1841,-32.2876,5.2490
489833483,-0.0105,0.1818,1.3136,33.2642,-24.7192,10.4980
489843482,0.0053,0.1918,1.2831,36.9263,-23.8647,11.4136
489853487,0.0239,0.1815,1.2204,39.8560,-26.3062,10.7422
489863482,0.0271,0.1652,1.1801,40.1611,-28.9917,12.0239
489873481,0.0224,0.1642,1.1454,38.5132,-33.3862,13.1836
489883481,0.0188,0.1737,1.1457,36.0107,-35.2783,10.8032
489893485,0.0144,0.1932,1.1430,32.5928,-38.2690,7.6904
489903480,0.0217,0.1886,1.1349,32.5928,-39.1846,9.0332
489913481,0.0412,0.1776,1.0917,34.9121,-37.7808,10.6201
489923485,0.0380,0.1613,1.0751,34.9121,-37.5366,7.6904
489933481,0.0361,0.1588,1.0793,32.7759,-36.8042,2.0752
489943481,0.0417,0.1869,1.1300,29.8462,-31.0669,-6.4087
489953482,0.0556,0.2052,1.1603,30.3345,-20.5688,-9.8877
489963520,0.0620,0.2072,1.1400,37.0483,-14.9536,-12.0239
489973482,0.0847,0.1928,1.1081,44.3726,-19.3481,-9.9487
489983485,0.1025,0.1791,1.0390,51.2085,-20.4468,-5.4932
489993481,0.0949,0.1686,1.0011,49.8657,-16.4185,-4.7607
490003485,0.0661,0.2023,0.9508,45.1660,-18.4937,-8.4839
490013482,0.0529,0.2221,0.9333,40.1001,-20.1416,-8.1787
490023480,0.0524,0.2448,0.8913,35.2173,-25.8179,-4.5776
