t,ax,ay,az,gx,gy,gz
404976486,0.2089,-0.3779,1.0110,46.3257,-8.8501,-48.2788
404986485,0.2035,-0.3693,1.0000,42.6025,-9.2163,-49.1943
404996486,0.2057,-0.3637,0.9987,41.8701,-8.1787,-49.9878
405006484,0.2157,-0.3637,1.0144,37.7808,-5.1270,-48.3398
405016490,0.2260,-0.3691,1.0263,31.1890,-2.2583,-47.1802
405026533,0.2414,-0.3903,1.0500,20.7520,3.7842,-44.5557
405036484,0.2345,-0.3930,1.0815,12.1460,5.3711,-39.7339
405046484,0.2436,-0.4038,1.1264,2.3193,-1.9531,-35.4004
405056484,0.2450,-0.3986,1.1535,3.6011,-10.3149,-36.9873
405066484,0.2323,-0.3674,1.1948,14.9536,-28.1982,-47.7295
405076486,0.2287,-0.3894,1.2534,23.0103,-41.0156,-60.1196
405086484,0.2409,-0.4926,1.4133,26.7334,-55.6641,-78.0640
405096484,0.2812,-0.5874,1.5940,21.2402,-59.3872,-83.9233
405106484,0.3947,-0.7360,1.9558,-4.5776,-51.1475,-77.1484
405116484,0.5097,-0.8181,2.2241,-19.3481,-39.4897,-62.8662
405126479,0.6972,-0.9550,2.6269,-3.9062,-11.1084,-42.4194
405136484,0.7790,-1.0546,2.8567,42.1143,16.3574,-37.8418
405146485,0.8310,-1.0983,3.0490,143.7988,56.5186,-41.6870
405156485,0.7953,-1.1147,3.0205,202.2095,83.0078,-46.6309
405166485,0.6837,-1.0974,2.8999,254.8218,107.6660,-50.5371
405176484,0.6064,-1.0654,2.8003,278.3203,113.5864,-49.0723
405186479,0.5058,-1.0817,2.6323,333.8013,113.7085,-46.3867
405196484,0.4223,-1.0920,2.5078,394.3481,103.3936,-47.1802
405206484,0.3175,-1.1542,2.3943,472.9004,94.9707,-52.6123
405216485,0.1742,-0.9509,2.2370,605.7739,76.9653,-71.2280
405226484,0.1437,-0.8005,1.9670,648.6206,83.6182,-76.4771
405236490,0.2692,-0.7470,1.4846,616.8823,79.3457,-44.4946
405246484,0.3307,-0.6943,1.2807,571.8384,72.0215,-30.0293
405256481,0.4010,-0.6486,1.1252,517.8223,61.7065,-40.2832
405266484,0.4662,-0.6303,1.0705,495.1782,51.5137,-49.3164
405276484,0.4833,-0.6337,0.9050,505.2490,36.4990,-67.4438
405286485,0.4110,-0.6657,0.7724,530.3345,19.0430,-91.7358
405296489,0.1767,-0.7480,0.6408,556.9458,-15.5029,-131.0425
405306491,0.0385,-0.7822,0.5244,561.5234,-29.0527,-135.3760
405316481,-0.0645,-0.8549,0.3347,572.4487,-44.4946,-124.0845
405326498,-0.1400,-0.8374,0.1648,582.0923,-41.0767,-122.1924
405336484,-0.1766,-0.8994,-0.2542,586.9141,-15.4419,-117.3706
405346489,-0.1268,-0.8781,-0.5889,574.8291,17.8223,-110.7178
405356484,-0.0389,-0.8217,-1.1770,512.3901,99.4263,-123.0469
405366485,0.0592,-0.9453,-1.6819,464.5996,155.2734,-138.1226
405376486,0.0548,-1.0495,-2.3294,378.9062,204.1626,-153.9917
405386485,-0.0902,-1.0769,-2.5415,297.1191,205.2002,-166.9922
405396485,-0.3123,-1.2495,-2.5579,151.0010,163.5132,-163.0249
405406484,-0.3692,-1.3176,-2.4475,54.8706,117.1875,-123.2910
405416485,-0.2408,-1.2109,-2.0362,-94.1162,44.0063,-47.2412
405426484,-0.1073,-1.0744,-1.6844,-180.1147,5.9814,-10.4370
405436524,0.0981,-0.9191,-1.3321,-247.5586,-32.5317,20.8740
405446491,0.2101,-0.8408,-1.2051,-278.5645,-48.5229,26.8555
405456489,0.2953,-0.7612,-1.0340,-311.8286,-60.9131,33.0811
405466481,0.3346,-0.7988,-0.8855,-338.6230,-64.2090,26.0010
405476479,0.3161,-0.8791,-0.8501,-355.8960,-64.5142,19.5313
405486490,0.2470,-0.9272,-0.8033,-417.9077,-63.4155,22.9492
405496490,0.2384,-0.9521,-0.7168,-467.2241,-63.0493,34.3628
405506485,0.2743,-1.0681,-0.5552,-526.7334,-69.8853,39.1846
405516484,0.2377,-1.1015,-0.3589,-564.3311,-88.6841,32.7759
405526485,0.2462,-1.1828,0.0593,-628.8452,-138.3057,34.8511
405536484,0.3918,-1.2922,0.3454,-661.0107,-172.8516,45.3491
405546486,0.7011,-1.3583,0.8982,-705.6274,-203.0029,45.4712
405556485,0.8402,-1.3852,1.3171,-738.7085,-194.2139,27.2217
405566484,0.8671,-1.3090,2.3315,-799.8047,-161.3770,-17.8833
405576485,0.7982,-1.3803,3.1635,-816.8945,-138.7939,-47.2412
405586484,0.6879,-1.6860,3.9944,-706.6650,-125.9766,-60.8521
405596484,0.7582,-1.8986,4.0866,-544.9829,-135.7422,-59.0210
405606485,0.9562,-1.8371,4.1948,-341.7358,-190.1245,-53.1616
405616485,1.0666,-1.5512,4.3725,-284.4849,-231.6284,-57.4951
405626479,1.2277,-1.4448,4.3803,-179.0161,-238.9526,-79.1016
405636485,1.1630,-1.4357,4.1570,-81.1768,-195.8008,-99.1821
405646485,0.8459,-1.2824,3.6858,31.1890,-103.8818,-101.5625
405656484,0.6718,-1.1955,3.4270,50.1099,-54.6265,-79.9561
405666485,0.6322,-1.1635,3.3122,31.1890,-20.6299,-50.0488
405676486,0.8112,-1.0705,3.4162,0.3662,14.4653,-5.7373
405686489,0.9860,-1.0219,3.4804,10.0708,37.3535,11.9629
405696484,1.2123,-0.9504,3.2722,95.3979,73.4253,10.8032
405706486,1.2472,-0.8935,2.9460,169.3726,92.2852,-10.4370
405716486,1.1291,-0.7802,2.4153,250.0610,97.5952,-58.8379
405726484,0.9406,-0.7351,2.0976,279.6631,93.2617,-92.4072
405736503,0.6032,-0.7141,1.6269,312.1338,82.5195,-136.2305
405746485,0.3949,-0.7031,1.2749,331.6040,84.0454,-144.4092
405756490,0.1425,-0.6115,0.7776,330.8716,83.9844,-128.6011
405766484,0.0104,-0.5559,0.5652,303.2227,77.4536,-117.0654
405776486,-0.1517,-0.4621,0.4060,247.2534,55.4810,-98.9990
405786486,-0.1519,-0.4108,0.2900,225.7080,40.1001,-78.3081
405796485,-0.0587,-0.3356,0.0490,212.9517,31.3110,-39.3066
405806484,-0.0348,-0.3012,-0.1226,197.1436,28.8696,-25.3906
405816485,0.0163,-0.2087,-0.3443,163.8794,19.1040,-13.5498
405826484,0.0924,-0.1274,-0.4456,144.7144,12.2681,-4.6997
405836484,0.2509,-0.0292,-0.4983,119.7510,-2.8687,-3.2349
405846491,0.3085,0.0928,-0.4793,111.9385,-10.5591,-13.8550
405856480,0.2311,0.2405,-0.3843,104.3091,-21.1792,-47.8516
405866481,0.1020,0.2425,-0.2693,95.8862,-26.7944,-68.1152
405876481,-0.0609,0.1880,-0.1541,80.6885,-17.8833,-69.7021
405886488,-0.0682,0.2186,-0.1255,57.9834,-10.1318,-43.1519
405896488,0.1252,0.2059,0.0671,-3.7842,-9.0942,-5.1880
405906485,0.3087,0.1709,0.3801,-62.1338,-14.4653,0.7935
405916484,0.5160,0.1761,0.7495,-117.9199,-19.4092,1.1597
405926484,0.7392,0.1404,1.2942,-159.8511,-21.7285,-5.6152
405936483,0.7882,0.0782,1.5583,-146.1182,-19.7144,-27.4048
405946491,0.6198,-0.0737,1.7143,-66.6504,-13.6719,-76.0498
405956483,0.3915,-0.1516,1.6626,1.2207,-15.3809,-108.8867
405966481,0.0688,-0.2114,1.4919,62.8052,-26.0620,-126.1597
405976483,-0.0467,-0.2321,1.4016,66.4673,-29.9683,-107.9712
405986484,-0.0128,-0.1567,1.3506,47.2412,-24.7192,-59.1431
405996483,0.0990,-0.0827,1.3379,32.6538,-9.8877,-30.4565
406006489,0.2672,-0.0300,1.3176,16.2964,16.2964,-9.9487
406016488,0.3122,-0.0056,1.3227,7.0190,30.0293,-9.9487
406026486,0.3964,0.0196,1.3283,-2.8076,39.2456,-11.6577
406036484,0.4616,0.0447,1.3430,-5.3101,33.9355,-12.5732
406046484,0.4740,0.0633,1.4055,-4.5166,19.4092,-35.1563
406056484,0.3825,0.0303,1.4140,11.7187,10.3149,-58.3496
406066484,0.2096,-0.0185,1.3308,54.9316,-2.5635,-78.9795
406076484,0.1342,-0.0383,1.2361,76.1719,-8.2397,-80.2612
406086485,0.0780,-0.0551,1.0896,74.4629,-5.9204,-68.6035
406096484,0.0648,-0.0522,1.0373,59.0820,-1.4648,-57.8003
406106489,0.0522,-0.0624,1.0019,33.9966,8.9111,-43.9453
406116479,0.0463,-0.0517,1.0053,20.5688,12.2681,-33.9355
406126485,0.0788,-0.0654,1.0378,8.3008,6.7749,-27.2827
406136488,0.1244,-0.0468,1.0634,8.6670,-1.7090,-26.1230
406146486,0.1913,-0.0268,1.0954,13.4277,-11.4136,-26.0620
406156483,0.2709,0.0015,1.1206,21.4844,-21.3013,-33.9966
406166490,0.2990,-0.0009,1.1345,25.8179,-24.9023,-41.3818
