t,ax,ay,az,gx,gy,gz
220326481,0.2743,-0.5183,1.0510,5.6152,-13.4277,-56.9458
220336484,0.2438,-0.5419,1.1198,-0.8545,-15.6250,-55.1147
220346486,0.2223,-0.5742,1.1369,-1.2207,-18.0054,-54.9927
220356488,0.2482,-0.5932,1.1294,1.9531,-19.5923,-48.1567
220366484,0.2531,-0.6025,1.1413,1.0986,-14.8926,-43.9453
220376483,0.2511,-0.6213,1.1118,-2.1973,-9.2163,-41.3208
220386480,0.2743,-0.5756,1.1235,-12.8174,-2.1362,-31.6162
220396483,0.3134,-0.5473,1.1093,-12.5122,-0.8545,-28.1982
220406485,0.4223,-0.5405,1.1084,-2.9297,-16.7847,-29.5410
220416482,0.4621,-0.5493,1.1633,1.1597,-32.5317,-40.8325
220426484,0.4508,-0.6132,1.3823,4.5776,-56.8237,-71.8384
220436483,0.3810,-0.7014,1.5366,17.4561,-62.1948,-92.4072
220446486,0.3488,-0.8068,1.7238,48.4009,-64.5142,-97.6563
220456485,0.3278,-0.8315,1.7964,67.2607,-55.7251,-90.3931
220466485,0.3095,-0.8188,1.7749,92.3462,-37.7197,-75.1953
220476479,0.3334,-0.7858,1.7221,99.8535,-32.8369,-62.8052
220486484,0.4203,-0.7746,1.7426,91.6748,-46.2646,-58.2275
220496488,0.4777,-0.7922,1.8276,88.0127,-63.7207,-70.1904
220506490,0.5429,-0.8483,1.9763,97.7783,-80.1392,-86.3647
220516488,0.6159,-0.9086,2.2114,119.6289,-82.6416,-104.6143
220526491,0.6383,-0.9172,2.2600,142.3950,-61.8286,-108.3374
220536483,0.7309,-0.9133,2.1240,170.1050,-14.7705,-89.2334
220546484,0.7465,-0.8747,2.0207,173.2788,14.5874,-73.1812
220556483,0.7453,-0.8286,1.8884,168.2739,45.7153,-61.3403
220566485,0.7223,-0.8242,1.8520,172.4854,48.1567,-61.8286
220576484,0.6403,-0.8093,1.9067,204.6509,39.7339,-82.2754
220586485,0.5888,-0.8344,1.9968,233.4595,29.5410,-102.5391
220596484,0.5375,-0.8684,2.0781,286.1938,28.9307,-126.0986
220606486,0.5028,-0.8859,2.0984,336.3037,38.6353,-130.7373
220616483,0.4296,-0.9030,1.8925,396.9116,59.5703,-129.6997
220626486,0.3847,-0.8933,1.6240,420.7153,67.5049,-120.6055
220636489,0.3114,-0.8701,1.3247,447.5708,71.0449,-112.3047
220646485,0.2543,-0.8593,1.2365,444.9463,58.6548,-119.3237
220656488,0.1378,-0.8474,1.1919,440.9790,45.8984,-131.7139
220666484,0.0929,-0.8586,1.1650,463.2568,31.1279,-130.0659
220676488,0.1015,-0.7836,1.0144,531.0669,-1.8921,-131.1646
220686485,0.1879,-0.8171,0.8769,574.4019,-23.4375,-150.3906
