t,ax,ay,az,gx,gy,gz
357106481,0.2294,-0.4001,1.1233,15.8081,-10.9863,-51.3916
357116489,0.2091,-0.3989,1.1042,21.4844,-7.9346,-53.0396
357126485,0.1874,-0.4050,1.0703,25.5737,-4.2114,-53.7720
357136484,0.1720,-0.3913,1.0576,18.1274,-0.7324,-49.1333
357146484,0.1730,-0.4067,1.0798,9.3384,-0.5493,-46.9360
357156486,0.1632,-0.4216,1.1350,4.6387,1.7700,-45.4712
357166481,0.1559,-0.4409,1.1335,7.4463,3.4180,-44.5557
357176486,0.1908,-0.4374,1.1211,6.4087,1.1597,-39.3066
357186484,0.2169,-0.4374,1.1347,2.6855,-2.6855,-38.8794
357196484,0.2484,-0.4394,1.1853,5.6152,-8.5449,-44.3726
357206489,0.2509,-0.4494,1.2209,12.8174,-10.6201,-48.2178
357216484,0.2438,-0.4519,1.2334,25.0244,-10.6812,-54.0771
357226486,0.2301,-0.4458,1.2180,30.1514,-7.3853,-55.6641
357236485,0.2077,-0.4321,1.2224,25.2686,-5.4932,-53.8940
357246484,0.1815,-0.4528,1.2881,19.0430,-7.2021,-53.5278
357256484,0.1610,-0.4890,1.4392,11.2305,-11.7798,-55.9692
357266484,0.1713,-0.5183,1.5739,5.4932,-15.0146,-53.6499
357276487,0.2392,-0.5959,1.8115,8.2397,-20.4468,-49.7437
357286485,0.2868,-0.6259,1.9511,24.9634,-19.0430,-49.5605
357296484,0.3837,-0.6603,2.0639,59.8145,-11.9019,-51.2085
357306485,0.4694,-0.6801,2.1169,79.2847,-5.7983,-53.1616
357316484,0.5607,-0.7189,2.2026,109.6191,10.1318,-63.1104
357326484,0.5710,-0.7495,2.2326,131.3477,23.6816,-73.9136
357336484,0.4916,-0.8005,2.2573,173.0957,43.3350,-88.7451
357346484,0.4665,-0.8586,2.3174,207.8247,47.1191,-97.4121
357356484,0.4599,-0.9355,2.4160,246.1548,41.0156,-108.3984
357366484,0.3534,-1.0217,2.6074,315.1245,18.7988,-137.4512
357376484,0.2953,-1.1123,2.6516,368.1641,-5.1270,-157.8369
357386489,0.2045,-1.1892,2.4167,467.8955,-38.2690,-168.5791
357396491,0.1215,-1.1691,2.1928,531.6162,-58.5938,-174.7437
357406484,0.1210,-1.1088,1.8474,593.9941,-93.8721,-188.2324
357416486,0.1435,-1.0090,1.6230,628.7842,-111.2061,-187.3779
357426484,0.1867,-0.8945,1.2988,678.1616,-145.2026,-189.6362
357436484,0.2011,-0.8691,1.1147,713.1958,-161.9263,-203.4302
357446490,0.1376,-0.8032,0.8230,756.7139,-157.5928,-226.1963
