t,ax,ay,az,gx,gy,gz
115276484,0.0358,-0.3073,1.0698,10.1929,-8.3618,-47.4243
115286484,0.0158,-0.3122,1.0886,1.0376,-6.8970,-51.8799
115296484,-0.0194,-0.3103,1.1223,6.7749,-17.4561,-52.1851
115306481,-0.0184,-0.3015,1.1333,15.9302,-24.5361,-47.8516
115316484,-0.0072,-0.2961,1.1618,20.0195,-31.1279,-45.9595
115326485,-0.0128,-0.2841,1.1928,16.6626,-31.0059,-47.0581
115336489,-0.0289,-0.2946,1.2724,12.3291,-26.6113,-45.3491
115346484,-0.0487,-0.3205,1.3650,6.1035,-25.2075,-42.7246
115356486,-0.0650,-0.3420,1.4839,-0.6104,-21.7285,-41.0156
115366484,-0.0663,-0.3813,1.7099,-11.4746,-20.1416,-37.9639
115376486,-0.0282,-0.4289,1.8689,-15.3198,-19.5923,-32.3486
115386486,0.0360,-0.5227,2.1111,-12.6953,-17.8833,-23.4375
115396485,0.0775,-0.5615,2.2600,-3.9673,-19.4702,-22.1558
115406484,0.1950,-0.6721,2.5163,21.8506,-18.7378,-21.4844
115416485,0.2526,-0.7490,2.7136,49.0112,-21.5454,-24.5972
115426484,0.2780,-0.8483,2.8903,116.6382,-24.7803,-43.0908
115436500,0.2572,-0.9277,2.9419,172.4243,-27.4658,-49.4995
115446484,0.2250,-1.1027,3.1189,242.2485,-29.2358,-59.9365
115456484,0.1784,-1.2243,3.2204,292.2363,-32.2876,-69.8853
115466486,0.1359,-1.3420,3.2446,392.0288,-37.5977,-73.3643
115476490,0.0946,-1.3857,3.1989,458.7402,-56.8237,-68.8477
115486484,-0.0653,-1.5141,2.8625,574.6460,-118.2251,-89.1113
115496484,-0.1378,-1.5268,2.5608,671.2036,-163.2690,-101.7456
115506484,-0.1078,-1.5424,1.8623,772.2778,-195.8008,-105.4688
115516484,-0.0169,-1.5080,1.3706,797.7905,-185.7910,-90.2100
115526484,0.1049,-1.3923,0.6626,778.6865,-136.7187,-78.1250
115536489,0.1728,-1.2932,0.2758,752.5024,-80.9937,-73.7305
115546480,0.3373,-1.2224,-0.2076,697.2046,-0.9766,-64.8193
115556481,0.4201,-1.1269,-0.5703,680.2368,41.0156,-65.7349
115566484,0.4467,-0.8461,-1.0884,627.8687,110.8398,-82.8857
115576485,0.3986,-0.8422,-1.3904,561.4014,151.0010,-99.7925
115586486,0.1901,-0.7597,-1.7718,470.4590,161.7432,-122.8027
115596481,0.0365,-0.6284,-1.9832,411.9263,143.4326,-128.1738
115606485,-0.0833,-0.5161,-2.2244,342.4072,129.6997,-118.7134
115616484,-0.1524,-0.5048,-2.5171,218.1396,87.2192,-89.6606
115626484,-0.1393,-0.4565,-2.5044,113.2202,56.7627,-69.5801
115636484,0.0124,-0.3645,-2.1040,-53.7109,23.3765,-40.7104
115646491,0.2052,-0.3012,-1.8243,-134.8267,19.4092,-24.3530
115656481,0.5009,-0.2443,-1.4490,-214.0503,26.4893,-25.5737
115666484,0.5534,-0.2407,-1.3299,-251.0986,34.1797,-43.7012
115676485,0.4652,-0.3063,-1.3233,-307.0068,38.5132,-67.1997
115686479,0.3803,-0.4680,-1.2771,-351.0742,27.5879,-77.3926
115696484,0.1693,-0.6384,-1.0689,-417.4805,-3.7842,-83.5571
115706485,0.0627,-0.7717,-0.9673,-469.6045,-13.8550,-78.7964
115716486,-0.0033,-0.9687,-0.6712,-561.7065,-28.8696,-56.0303
115726486,-0.0665,-1.1569,-0.3631,-620.5444,-27.6489,-52.3682
115736489,-0.1397,-1.3779,0.1140,-682.5562,-10.6812,-41.9312
115746484,-0.1219,-1.5556,0.3188,-695.0684,5.5542,-24.1089
115756485,-0.1373,-1.7248,0.6169,-701.1108,46.9360,-15.1978
115766485,-0.2467,-1.8107,1.0241,-715.2710,81.0547,-27.2827
115776484,-0.3182,-1.8522,2.0500,-713.6230,105.8350,-31.5552
115786484,-0.3248,-1.7998,2.7815,-675.3540,108.0933,-33.9966
115796480,-0.1859,-1.7148,3.3623,-519.7754,38.1470,-24.9023
115806484,0.1056,-1.5083,3.4599,-371.4600,-53.8940,-22.2778
115816481,0.4350,-1.1843,2.8088,-119.3237,-195.9839,-71.2280
115826485,0.4816,-1.0583,2.2243,-13.3667,-253.8452,-107.0557
115836484,0.3300,-0.9904,1.9590,-15.1367,-245.3613,-128.2349
115846510,-0.0521,-0.8627,2.0349,-114.7461,-129.2725,-108.8867
115856484,-0.0399,-0.8178,2.2382,-162.0483,-53.7109,-54.1992
115866484,0.1818,-0.7770,2.4985,-178.2227,-2.8687,-2.8076
115876486,0.3617,-0.7304,2.6513,-151.3062,-9.2163,-7.9346
115886488,0.5653,-0.6423,2.6457,-71.1060,-26.9165,-23.4985
115896488,0.6298,-0.6008,2.4487,-16.8457,-27.1606,-29.4189
115906485,0.6042,-0.5668,2.0588,24.4751,-11.1694,-38.1470
115916484,0.4662,-0.5466,1.8637,29.0527,3.7231,-50.4150
115926484,0.2169,-0.5776,1.6591,41.3818,18.3716,-69.2139
115936488,0.0561,-0.6022,1.4726,54.3213,26.7944,-69.7021
115946484,-0.0777,-0.6442,1.2351,59.5703,27.2217,-59.2651
115956484,-0.1007,-0.6499,1.1755,46.8750,18.9819,-53.7720
115966484,-0.0326,-0.6330,1.2341,27.3438,5.0049,-45.5933
115976485,0.0155,-0.6306,1.2434,30.6396,-4.8218,-39.9780
115986484,0.0736,-0.6254,1.2248,42.9688,-16.4185,-41.8701
115996483,0.0761,-0.6166,1.2207,44.9829,-18.4326,-46.4478
116006485,0.0617,-0.5983,1.1699,50.1099,-17.0898,-46.0205
116016484,0.0890,-0.5688,1.1035,51.8799,-13.2446,-41.5039
116026490,0.1371,-0.5444,1.1125,44.5557,-8.4839,-41.7480
116036488,0.1183,-0.5288,1.1596,41.9312,-5.9814,-47.6074
116046484,0.1012,-0.5034,1.1928,53.3447,-12.1460,-48.8281
116056484,0.1190,-0.5019,1.1396,65.7959,-15.8081,-44.7388
116066485,0.1703,-0.4782,1.0412,73.2422,-16.0522,-38.1470
116076485,0.2140,-0.4374,0.9953,65.4907,-9.1553,-38.0249
116086484,0.1823,-0.4450,1.0200,55.0537,-6.8970,-44.0063
116096483,0.1452,-0.4499,1.0634,56.0303,-7.2632,-45.1050
116106485,0.1508,-0.4543,1.0520,60.6689,-7.6904,-41.6870
116116484,0.1859,-0.4401,1.0432,62.2559,-8.1787,-39.3677
116126486,0.1674,-0.4360,1.0388,63.2324,-7.6904,-41.6870
116136488,0.1288,-0.4221,0.9802,67.1387,-6.9580,-40.8325
116146493,0.1330,-0.4174,0.9338,64.8804,-2.6245,-37.3535
116156484,0.1759,-0.4201,0.9267,54.0161,0.6714,-34.7900
116166485,0.1720,-0.4182,0.9560,47.4243,2.0752,-39.5508
116176485,0.1576,-0.4111,0.9975,44.1895,3.3569,-43.2129
116186484,0.1586,-0.4343,1.0273,44.6167,0.6714,-43.0298
116196483,0.1337,-0.4511,1.0227,47.7905,-3.1738,-46.1426
116206485,0.1278,-0.4382,1.0124,48.0957,-5.6152,-46.2036
116216483,0.1029,-0.4106,1.0097,46.6919,-9.3384,-48.8281
116226486,0.0968,-0.4187,1.0161,45.5933,-11.4136,-50.4150
116236484,0.1281,-0.4082,1.0134,44.3726,-10.8032,-46.3257
116246485,0.1532,-0.4062,1.0117,41.1987,-8.6670,-41.6870
116256541,0.1571,-0.4245,1.0097,34.9121,-6.6528,-41.1377
116266489,0.1276,-0.4331,1.0039,32.3486,-6.3477,-41.1377
116276483,0.1095,-0.4311,1.0229,28.9917,-10.3760,-39.7339
116286484,0.1212,-0.4145,1.0276,28.9917,-13.7939,-37.7808
116296488,0.1759,-0.4018,1.0412,29.6631,-15.1367,-37.2925
116306481,0.2130,-0.3981,1.0464,29.3579,-12.4512,-38.5742
116316483,0.2348,-0.4016,1.0500,32.1655,-8.8501,-41.3208
116326489,0.2006,-0.4277,1.0329,34.3628,-3.0518,-47.7295
116336484,0.1571,-0.4433,1.0373,30.8838,-0.5493,-49.0112
116346484,0.1444,-0.4599,1.0813,24.5361,-1.2207,-48.7671
116356484,0.1459,-0.4580,1.1025,26.5503,-3.1738,-47.6074
116366486,0.1449,-0.4519,1.0754,36.4990,-7.9346,-47.3022
