t,ax,ay,az,gx,gy,gz
63346485,0.0912,-0.3662,1.0332,21.9727,-3.4790,-50.8423
63356484,0.1000,-0.3718,1.0427,17.2119,-3.5400,-49.0112
63366484,0.0905,-0.3815,1.0512,15.4419,-2.2583,-48.0347
63376484,0.0863,-0.3732,1.0488,17.3950,-0.7935,-46.5698
63386485,0.0858,-0.3740,1.0251,16.6016,1.8921,-44.6777
63396486,0.0890,-0.3749,1.0236,12.0239,2.9297,-42.5415
63406485,0.1056,-0.3781,1.0666,0.9155,3.1738,-40.9546
63416484,0.1195,-0.3806,1.1054,-3.0518,3.3569,-41.5039
63426484,0.1337,-0.3837,1.1235,0.4883,5.3101,-40.8936
63436486,0.1408,-0.3757,1.1325,0.4883,7.0190,-40.2222
63446486,0.1225,-0.3859,1.1386,-2.6855,5.9814,-44.3115
63456484,0.0983,-0.3886,1.1594,-4.8218,6.2866,-46.7529
63466484,0.0578,-0.4057,1.2195,-14.7095,7.2021,-45.3491
63476484,0.0414,-0.4172,1.2595,-20.0195,9.2773,-44.7998
63486486,0.0353,-0.4226,1.3059,-23.6206,11.2305,-40.1611
63496484,0.0368,-0.4382,1.3694,-30.3345,14.5874,-34.4849
63506486,0.0214,-0.4526,1.4162,-33.3862,15.3198,-34.1187
63516484,0.0302,-0.4885,1.5341,-34.8511,12.7563,-33.0811
63526484,0.0270,-0.5124,1.6609,-33.5083,8.6670,-35.2173
63536479,0.0209,-0.5727,1.8564,-24.5361,2.4414,-43.2129
63546484,0.0463,-0.6210,2.0088,-15.6250,-0.4883,-42.9077
63556489,0.0648,-0.7280,2.2268,0.8545,-2.3193,-44.4336
63566491,0.0651,-0.8112,2.3886,15.9302,-3.7842,-50.8423
63576486,0.0775,-0.9943,2.6457,47.1802,-0.4883,-57.3120
63586485,0.0990,-1.1340,2.7946,82.0313,5.7983,-59.8755
63596486,0.0829,-1.2993,2.9475,160.2173,18.0054,-64.3921
63606484,0.0695,-1.4755,3.1023,209.0454,14.0991,-74.5850
