t,ax,ay,az,gx,gy,gz
319186485,0.3842,-0.2478,1.0703,9.5825,-8.2397,-17.2729
319196484,0.4057,-0.2436,1.0698,7.3853,-2.3804,-26.3672
319206484,0.3671,-0.2761,1.1086,9.6436,-2.8076,-46.5088
319216485,0.3053,-0.3066,1.1504,12.3291,-7.9956,-58.1055
319226481,0.2350,-0.3293,1.1855,16.7236,-16.6016,-59.3872
319236486,0.2284,-0.3535,1.2138,15.7471,-22.8882,-56.1523
319246486,0.1820,-0.3588,1.2954,12.4512,-29.9683,-63.2935
319256486,0.1308,-0.3640,1.3715,8.1787,-30.6396,-66.1621
319266484,0.0805,-0.4086,1.5175,0.1831,-27.1606,-63.7817
319276485,0.0700,-0.4123,1.6284,-5.9204,-22.7051,-60.4858
319286485,0.0731,-0.4094,1.7497,-8.2397,-18.3105,-55.7861
319296481,0.1149,-0.3972,1.9033,-1.7090,-12.2070,-45.7764
319306485,0.1613,-0.3959,1.9851,6.2866,-10.3149,-41.8701
319316507,0.2079,-0.4140,2.0805,20.9961,-16.5405,-42.9688
319326490,0.2038,-0.3950,2.1396,27.0386,-23.2544,-43.9453
319336484,0.2223,-0.4870,2.2861,32.0435,-40.6494,-46.2036
319346484,0.2362,-0.5178,2.4289,40.5884,-49.3774,-46.5088
319356489,0.3007,-0.6066,2.6591,56.5186,-56.2134,-45.1050
319366485,0.3759,-0.7270,2.7986,75.8057,-50.4150,-41.8091
319376485,0.4137,-0.7324,2.8891,122.6807,-18.2495,-43.5181
319386484,0.3842,-0.7736,2.8525,163.5132,2.2583,-46.5088
319396485,0.2775,-0.8737,2.6731,223.6938,17.2119,-48.7671
319406485,0.2250,-0.9555,2.5058,257.2021,16.2354,-44.7998
319416485,0.2318,-1.0603,2.3315,281.3721,1.0986,-38.3301
319426486,0.2453,-1.0624,2.2954,285.6445,-11.9629,-36.3159
319436485,0.3310,-1.1037,2.3276,305.9692,-30.3345,-31.1890
319446484,0.4342,-1.1291,2.3318,334.5337,-32.1655,-25.9399
319456485,0.6342,-1.1174,2.3134,390.9302,-17.5171,-32.4707
319466484,0.7499,-1.1540,2.2111,431.3354,2.6855,-44.9219
319476486,0.8180,-1.2277,1.9011,516.2964,36.8042,-75.7446
319486484,0.7604,-1.3164,1.6408,572.0215,55.7861,-108.7036
319496481,0.5573,-1.4428,1.2500,621.4600,80.0781,-135.2539
319506484,0.4245,-1.4890,1.0271,624.9390,92.4683,-131.9580
319516485,0.2924,-1.4458,0.8466,612.6099,100.5859,-116.6992
319526486,0.1601,-1.3259,0.5520,583.1909,98.2056,-91.1255
319536485,0.1195,-1.2636,0.3132,574.7681,81.2378,-72.3877
319546481,0.1391,-1.1066,-0.2530,593.0786,51.6357,-39.3066
319556485,0.2270,-1.0158,-0.8509,616.7603,38.6963,-25.0854
319566485,0.3793,-0.7648,-1.7923,605.0415,31.7383,-33.9355
319576484,0.3131,-0.8474,-2.2100,541.3818,34.6069,-84.0454
319586484,-0.0614,-0.7709,-2.4541,415.3442,27.1606,-145.9961
319596485,-0.2442,-0.6359,-2.4077,317.8101,31.0059,-143.8599
319606489,-0.3663,-0.5449,-2.1770,175.9644,50.5371,-105.4688
319616485,-0.3302,-0.4565,-1.9695,99.1211,57.1899,-76.9653
319626481,-0.1915,-0.3933,-1.6521,24.4751,51.0254,-43.6401
319636484,-0.0897,-0.3725,-1.4868,0.2441,33.5693,-29.6631
319646484,0.0944,-0.3620,-1.2945,-26.0620,4.6387,-13.7329
319656484,0.1972,-0.3317,-1.1363,-54.9316,-9.3994,-9.7656
319666485,0.2731,-0.2758,-0.8772,-103.3325,-16.2354,-18.3716
319676489,0.2668,-0.2446,-0.7371,-122.9248,-15.8081,-26.3672
319686481,0.1994,-0.2028,-0.6397,-129.6387,-11.7187,-39.3677
319696486,0.1293,-0.2204,-0.6206,-129.2114,-10.1318,-44.3115
319706486,0.0270,-0.2468,-0.6260,-138.7939,-9.7656,-44.1284
319716484,-0.0111,-0.2841,-0.6272,-156.0669,-9.3994,-36.3770
319726512,0.0282,-0.2836,-0.5813,-198.0591,-10.8032,-14.0381
319736484,0.0824,-0.2678,-0.4937,-235.0464,-12.5732,-4.2725
319746490,0.1422,-0.2397,-0.3592,-274.5361,-14.6484,-3.1128
319756485,0.2360,-0.2280,-0.1238,-316.5283,-20.7520,-3.6011
319766481,0.3156,-0.2358,0.0442,-330.0171,-26.4893,-4.3335
319776485,0.4525,-0.2499,0.3381,-348.8159,-39.4287,-8.7891
319786486,0.4794,-0.2492,0.5327,-360.1074,-41.4429,-14.9536
319796484,0.4491,-0.1647,0.7319,-368.8965,-29.7241,-25.3296
319806485,0.4699,-0.1528,0.7976,-362.5488,-20.0195,-27.9541
319816486,0.4628,-0.1882,0.8266,-349.7925,4.3945,-41.9922
319826489,0.3717,-0.2697,0.8806,-363.2812,26.9775,-63.0493
319836485,0.1154,-0.4494,1.1049,-415.5273,52.4902,-95.0317
319846489,-0.0257,-0.6396,1.3305,-440.9790,60.4858,-100.7690
319856484,-0.1331,-0.7915,1.6215,-453.0640,66.4063,-87.1582
319866481,-0.1070,-0.8007,1.7932,-457.2754,64.2090,-73.1812
319876485,0.1305,-0.7980,2.2612,-482.3608,49.0723,-57.9834
319886489,0.2138,-0.7868,2.7451,-491.9434,32.3486,-72.6929
319896483,0.1127,-0.8112,3.4609,-419.4336,-20.5078,-122.6807
319906485,-0.0133,-0.8398,3.6977,-298.4619,-69.1528,-147.5830
319916484,-0.1615,-0.8771,3.5158,-94.9707,-137.3291,-157.8979
319926484,-0.1876,-0.8857,3.1926,-10.9253,-168.2739,-146.2402
319936484,-0.1082,-0.7851,2.7868,13.0005,-175.9644,-107.7271
319946484,0.0126,-0.6870,2.6264,-3.0518,-152.4048,-78.9795
319956483,0.1054,-0.5522,2.3816,-7.8735,-88.1348,-52.9785
319966491,0.0785,-0.4663,2.1809,5.3711,-45.2881,-54.4434
319976488,0.0016,-0.4423,2.0236,13.3667,-13.3057,-65.2466
319986484,-0.0894,-0.5388,2.0158,-5.1270,11.1084,-70.6177
319996488,-0.1146,-0.5886,2.1440,-23.1934,16.1743,-62.8662
320006485,-0.0831,-0.5683,2.3493,-17.7612,13.9771,-45.1660
320016483,0.0004,-0.5288,2.4113,4.9438,11.7798,-32.8979
320026501,0.1510,-0.5124,2.3364,51.2085,16.2964,-20.3857
320036484,0.2206,-0.4604,2.2182,80.0171,25.6348,-17.3950
320046484,0.2948,-0.3889,1.9839,110.9619,40.6494,-16.9067
320056483,0.3549,-0.3923,1.8103,131.9580,46.8750,-15.1978
320066484,0.3720,-0.3669,1.5273,159.1797,52.1240,-29.1138
320076489,0.3419,-0.3588,1.3586,165.9546,55.0537,-45.1050
320086484,0.2419,-0.3642,1.2065,152.7100,60.9741,-61.2793
320096483,0.1208,-0.3811,1.1718,138.8550,66.2231,-69.3359
320106484,-0.0743,-0.3425,1.0976,124.2065,72.6929,-66.0400
320116483,-0.1671,-0.3217,1.0193,124.5117,70.8618,-53.8330
320126479,-0.2538,-0.2802,0.8515,129.8828,54.0771,-37.8418
320136545,-0.2901,-0.2788,0.7539,128.9673,34.2407,-32.1045
320146484,-0.2855,-0.2475,0.6567,116.8823,2.5635,-18.1885
320156483,-0.2372,-0.2280,0.6172,105.3467,-16.8457,-5.0659
320166485,-0.1231,-0.2014,0.5764,92.8345,-50.4761,9.2773
320176483,-0.0157,-0.1613,0.5490,88.7451,-68.3594,10.5591
320186485,0.1588,-0.0742,0.5473,73.6694,-77.0264,9.0332
320196483,0.2494,-0.0546,0.5717,57.9834,-68.9697,5.1270
320206486,0.3351,-0.0405,0.6054,44.4946,-46.2036,-7.2021
