t,ax,ay,az,gx,gy,gz
632891479,-0.2578,-1.0999,0.0650,-920.3491,661.8652,-393.9819
632901497,-1.1868,-1.3230,0.7652,-847.5952,594.1162,-426.8188
632911480,-1.8035,-1.4336,1.7906,-809.4482,440.9180,-401.3062
632921485,-2.9101,-0.7823,4.9022,-655.3955,36.8652,-310.9131
632931480,-2.9004,-0.0123,6.5118,-260.2539,-231.3843,-121.2158
632941482,-1.4902,0.4663,5.7293,506.7139,-447.3267,110.8398
632951481,-0.7690,-0.4417,4.3265,797.3633,-548.9502,134.7046
632961480,-0.9348,-1.2813,2.8069,1055.2979,-754.4556,127.8076
632971481,-1.1931,-1.3714,2.1194,1156.5552,-839.2334,94.2383
632981477,-1.4524,-1.3272,0.3690,1224.2432,-732.2998,115.3564
632991480,-1.2602,-1.1800,-1.6794,1146.2402,-486.6333,174.4995
633001485,-0.0161,-1.1568,-5.0734,555.1147,23.2544,249.3896
633011519,0.9805,-0.8631,-5.6569,-20.5078,337.2803,168.7622
633021481,1.1345,-0.7000,-3.4645,-674.4385,612.1826,-106.8726
633031481,0.6821,-0.8252,-1.4553,-921.6309,665.1001,-261.6577
633041481,0.1826,-0.9556,-0.1686,-1026.9165,694.5801,-333.6792
633051485,-0.6838,-1.0875,0.7528,-974.1211,718.2617,-361.6333
633061485,-1.2341,-1.1902,0.9996,-892.4561,685.5469,-362.1826
633071481,-2.3044,-1.3558,2.5540,-814.9414,426.3306,-344.0552
633081477,-3.0371,-0.8279,4.6524,-699.8901,136.2915,-283.9355
633091485,-2.6267,0.4909,6.8426,-93.7500,-267.1509,41.0156
633101481,-1.2746,0.7592,5.9730,440.6738,-402.3437,175.4761
633111481,-0.3088,-0.5704,3.4664,903.1982,-604.9805,186.2793
633121480,-0.5837,-1.0323,2.4578,1041.1377,-766.3574,153.0151
633131481,-1.0788,-1.2554,1.3944,1147.7051,-868.2251,87.4023
633141480,-1.2690,-1.2056,0.1937,1181.0913,-794.1895,105.8960
633151480,-0.9861,-0.9231,-2.9445,1015.9302,-408.2031,167.9687
633161481,-0.0464,-1.2024,-5.3910,589.0503,-28.1982,204.0405
633171481,1.2229,-0.9188,-5.6664,-313.1104,477.6001,35.4004
633181485,0.7825,-0.8299,-3.5329,-763.4888,674.4995,-203.7964
633191481,-0.0869,-1.1077,-0.7685,-1058.4106,739.8682,-350.6470
633201485,-0.5601,-1.2684,0.2501,-1079.7729,740.7837,-356.0181
633211481,-1.1704,-1.4876,1.1202,-983.5815,697.8760,-350.0977
633221480,-1.5522,-1.3294,2.2816,-920.2881,539.3677,-305.4810
633231480,-2.6477,-0.6514,5.1358,-691.4062,166.1987,-255.3101
633241480,-2.5823,0.2241,6.3631,-271.6675,-109.3140,-93.3838
633251481,-1.3127,0.7915,5.6514,414.1235,-389.7705,103.6987
633261485,-0.6648,-0.1517,4.2657,740.4785,-536.1938,121.7041
