t,ax,ay,az,gx,gy,gz
649861485,0.4275,0.3728,-1.5727,-309.0210,213.9282,-78.6743
649871480,0.3626,0.2277,-1.3205,-458.6182,270.1416,-127.5635
649881485,0.3130,0.0070,-0.8283,-626.6479,344.7266,-184.0210
649891485,0.4021,-0.1917,-0.7214,-696.2891,410.0342,-197.9370
649901484,0.4504,-0.8834,-0.9279,-780.8228,534.4238,-260.0098
649911480,0.2131,-1.5962,-0.9899,-882.0801,614.7461,-354.1260
649921480,-0.7031,-2.7205,-0.6069,-1089.9658,691.4062,-504.2725
649931479,-1.7261,-3.3030,0.3233,-1199.8291,644.2261,-576.5991
649941481,-4.1472,-3.0386,3.4317,-1225.2197,349.7925,-561.8286
649951474,-5.3049,-2.5115,6.1905,-949.5850,81.8481,-337.3413
649961476,-3.7021,-0.8282,7.2081,-69.9463,-168.2739,170.2881
649971481,-1.9377,-0.6031,5.4561,382.3242,-218.5669,321.7773
649981480,-0.2607,-1.2454,2.5013,783.3862,-315.0635,407.9590
649991484,-0.0017,-1.3409,0.8753,933.7158,-405.4565,383.7891
650001482,-0.0195,-0.6260,-0.2797,800.1709,-451.2329,290.4663
650011480,0.0259,0.0266,-0.0768,558.1665,-384.8877,263.0005
650021485,0.3699,0.5224,0.2457,447.8760,-303.2227,253.2959
650031479,0.7339,0.5869,-0.2158,501.1597,-282.8979,223.8159
650041481,1.0139,0.6413,-0.7597,453.6133,-224.6704,175.3540
650051479,1.1238,0.5446,-1.3913,228.9429,-25.8789,78.0640
650061480,1.1008,0.4472,-1.5075,41.0156,96.0083,20.7520
650071484,0.8723,0.4221,-1.0329,-192.7490,203.7354,-76.4771
650081481,0.7207,0.2785,-0.5334,-287.0483,231.0181,-120.8496
650091479,0.3152,0.1704,0.4893,-366.8823,162.2925,-155.7617
650101480,-0.0163,0.2316,1.5430,-360.9619,41.8701,-152.4048
650111502,-0.5312,0.5539,2.8621,-200.1343,-122.4976,-120.1782
650121477,-0.6565,0.6142,3.0103,2.9297,-175.9644,-83.1299
650131479,-0.7092,0.5527,2.3270,253.0518,-199.8901,-18.2495
650141487,-0.6389,0.3957,1.5599,351.6846,-187.8052,19.8364
650151480,-0.4519,0.2590,0.3348,380.0659,-122.8638,63.6597
650161482,-0.2290,0.2614,-0.2770,294.9829,-48.2178,79.4067
650171479,0.2412,0.3093,-0.9514,85.3882,105.1025,83.1299
650181480,0.6472,0.1982,-1.1830,-69.0918,202.6367,59.9365
650191479,0.7190,0.2519,-0.8027,-331.2378,292.6025,-35.8276
650201485,0.6262,0.2761,-0.2480,-461.9141,330.0781,-91.6138
650211479,0.6033,-0.0252,0.5560,-540.3442,346.5576,-153.7476
650221485,0.3440,-0.0262,1.2747,-571.3501,290.1611,-186.7676
650231480,-0.2715,-0.0186,2.9146,-502.1362,68.6646,-192.0776
650241480,-0.7295,0.1350,4.1773,-289.5508,-134.7046,-160.1562
650251479,-1.2690,0.3901,5.0626,213.4399,-333.4351,-125.1831
650261480,-1.3923,0.2663,4.5294,530.5786,-347.0459,-47.3633
650271479,-1.3232,-0.0660,3.5389,745.0562,-342.5903,44.1284
650281481,-1.1392,-0.4363,2.0223,897.0337,-337.7686,154.1748
650291476,-0.9966,-0.3948,0.9825,936.4014,-323.1201,201.4771
650301481,-0.2392,-0.3433,-1.1594,909.3628,-157.6538,239.8682
650311479,0.7122,-0.6316,-3.0585,707.8247,31.0669,256.6528
650321485,1.6792,-0.2542,-4.2302,92.1631,270.2637,132.6294
650331484,1.6980,-0.1045,-3.7368,-269.5923,417.0532,-51.4526
650341481,1.4050,-0.4825,-2.5358,-623.7183,513.1226,-218.1396
650351479,1.0293,-0.8499,-1.6225,-768.6157,492.7368,-316.4062
650361480,0.0676,-1.3848,-0.1017,-879.7607,416.0767,-427.0020
650371479,-0.7590,-1.3807,1.3079,-910.2173,275.5737,-453.4302
650381485,-1.8826,-0.8521,4.1795,-762.4512,-17.7002,-364.1357
650391479,-2.3906,-0.1946,5.7098,-415.9546,-188.0493,-248.9014
650401480,-2.3664,0.7783,5.6785,224.6704,-268.9819,-25.8179
650411479,-1.8530,0.2426,4.3897,506.8359,-252.2583,79.8950
650421480,-1.1963,-0.4546,2.6509,741.7603,-310.7300,224.2432
650431479,-0.8696,-0.6688,1.8245,862.1216,-385.6812,251.1597
650441480,-0.4338,-0.5677,-0.0112,977.6001,-377.9907,272.7661
650451479,0.2066,-0.5972,-2.0239,931.4575,-219.1162,294.8608
650461485,1.4065,-0.5381,-4.6457,368.7134,104.1260,287.9639
650471479,1.8860,-0.3299,-4.5966,-139.7705,318.1763,134.7656
650481485,1.7703,-0.3638,-2.9850,-627.9907,510.8032,-139.5874
650491479,1.2725,-0.4971,-1.4572,-817.3218,520.0195,-277.7100
650501480,0.5027,-0.7447,-0.2944,-885.8032,516.3574,-378.4180
650511484,-0.5742,-1.1119,0.9930,-859.3140,425.4150,-432.8003
650521496,-1.1951,-1.1004,2.2652,-806.7627,274.4141,-411.5601
650531484,-2.3887,-0.4581,4.8453,-576.2939,-18.2495,-331.4209
650541482,-2.6191,0.0749,5.8150,-185.4858,-170.5933,-183.4717
650551479,-1.8398,0.4841,4.7061,428.5278,-268.1885,80.9937
650561480,-1.0933,0.0219,3.4913,639.5874,-316.4673,164.6118
650571479,-0.5513,-0.5057,2.1495,819.7021,-427.1240,217.2241
650581477,-0.3706,-0.6522,1.2662,907.6538,-490.3564,222.2290
650591479,-0.1282,-0.5328,-0.8220,969.0552,-425.3540,221.3135
650601481,0.2095,-0.5098,-2.9907,842.4072,-229.7363,229.1260
650611480,1.3276,-0.2178,-4.9714,137.0850,152.5269,175.8423
650621480,1.4290,-0.2342,-4.4382,-351.5625,406.4331,-25.6958
650631479,1.0295,-0.7532,-2.4877,-776.0010,576.9653,-228.1494
650641481,0.4353,-1.1529,-1.2223,-935.3638,625.0000,-342.8345
650651479,-0.7427,-1.8860,0.2122,-1032.2876,618.2861,-455.5664
650661485,-1.4033,-2.1605,1.2564,-1014.7095,540.5884,-466.4917
650671479,-2.7722,-1.7557,3.9959,-950.0122,290.0391,-444.8242
650681482,-3.5564,-0.9847,6.2906,-702.6978,27.2827,-334.6558
650691479,-3.0776,-0.0936,6.9537,154.4189,-215.8203,37.2925
650701477,-1.4214,-0.4747,5.2203,673.0347,-282.2266,211.7310
650711479,-0.2783,-1.0928,2.6231,1065.7349,-441.3452,288.6963
650721480,-0.3606,-1.1265,1.5250,1141.6016,-583.6182,216.1255
650731484,-0.3887,-0.9312,1.0086,1108.0933,-637.0239,155.6396
650741481,-0.2573,-0.4993,0.0906,1006.9580,-519.5923,158.1421
650751484,-0.1401,-0.3643,-1.4745,941.9556,-369.5679,143.4326
650761485,0.2954,-0.2481,-4.5009,552.2461,-60.2417,119.3237
650771479,0.8267,-0.3543,-5.5678,102.4780,186.1572,56.2744
650781480,0.8774,-0.6077,-4.0788,-557.8003,406.4331,-145.3247
650791480,0.5032,-0.9190,-2.2067,-828.0640,449.7070,-245.6665
650801480,-0.2195,-1.3860,-0.2131,-976.7456,493.2251,-339.3555
650811484,-0.7493,-1.5586,0.4776,-973.3276,502.6855,-367.1875
650821500,-1.6211,-1.8465,1.8406,-913.4521,378.0518,-360.8398
650831479,-2.5913,-1.4363,3.8262,-844.9707,170.7764,-354.1260
650841480,-3.3486,-0.0552,6.6502,-419.7998,-131.7139,-111.9385
650851479,-2.4834,0.5158,6.5496,137.1460,-250.9155,128.0518
