t,ax,ay,az,gx,gy,gz
310151479,-0.3257,0.3950,0.9664,-12.6343,-16.5405,6.9580
310161480,-0.2983,0.4025,0.9405,-1.8311,-23.9258,12.3901
310171479,-0.2781,0.4050,0.9185,5.4932,-28.6255,13.1226
310181481,-0.2754,0.4191,0.8909,10.8032,-32.8369,9.8267
310191479,-0.2871,0.4216,0.8702,12.8174,-33.0811,8.4229
310201485,-0.2925,0.4157,0.8279,13.3057,-31.1279,8.5449
310211479,-0.2954,0.4138,0.7864,9.8267,-23.8037,11.7187
310221481,-0.2693,0.4047,0.7029,-2.1973,-6.3477,13.3057
310231484,-0.2346,0.4008,0.6512,-11.7187,7.3242,10.8643
310241485,-0.2605,0.4106,0.5948,-29.6021,22.7051,0.7324
310251479,-0.2844,0.4208,0.5689,-41.8091,41.0767,-7.8125
310261482,-0.2507,0.4208,0.4993,-75.7446,83.9844,-13.3057
310271479,-0.2219,0.3708,0.4703,-108.0322,113.0371,-17.3950
310281481,-0.1887,0.3149,0.5386,-157.2266,142.9443,-27.6489
310291479,-0.1882,0.3024,0.6710,-184.9365,146.3623,-37.7808
310301485,-0.2029,0.2827,0.8218,-194.1528,135.8032,-44.0674
310311484,-0.1824,0.1833,1.0801,-166.3818,92.2241,-47.4243
310321485,-0.2092,0.1389,1.2813,-130.6152,42.4194,-51.2695
310331479,-0.3899,0.1076,1.5784,-52.3071,-61.6455,-67.3828
310341485,-0.5251,0.1015,1.6903,33.5083,-137.5732,-69.1528
310351479,-0.6831,0.0493,1.8182,150.2686,-247.6807,-45.5322
310361481,-0.7585,0.0336,1.9486,207.4585,-320.4346,-26.0010
310371479,-0.9324,0.0842,2.0987,329.8950,-420.8374,3.1128
310381480,-0.9009,0.0244,2.2047,437.7441,-486.6333,26.7944
310391474,-0.8061,0.1198,2.2098,573.4253,-559.0820,48.3398
310401485,-0.6487,0.2639,2.0982,649.2310,-559.3872,68.9087
310411479,-0.3645,0.3693,1.3314,736.3892,-467.5903,89.6606
310421485,-0.1675,0.4042,0.4420,757.6904,-346.5576,78.1860
310431474,0.2835,0.2585,-1.0805,598.8770,-75.5615,57.9834
