t,ax,ay,az,gx,gy,gz
625891485,-0.0456,0.4055,0.6151,-261.1084,230.2246,-81.5430
625901484,-0.0210,0.2800,0.8314,-254.1504,195.6177,-84.4727
625911474,-0.0681,0.3098,1.1766,-249.6338,127.6245,-78.7354
625921485,-0.2134,0.2648,1.9229,-202.8198,-39.1235,-82.5806
625931479,-0.3101,0.2592,2.5958,-115.9668,-206.2378,-69.5801
625941481,-0.5569,0.4667,3.4200,116.3940,-465.9424,-67.0776
625951479,-0.6609,0.3134,3.3729,358.9478,-570.3735,-103.0273
625961481,-0.9670,0.0270,2.3135,685.7910,-583.6792,-92.7734
625971479,-1.1589,0.0356,1.4066,813.4766,-527.8931,-46.7529
625981481,-0.9766,0.2268,0.0235,849.8535,-319.2749,89.0503
625991479,-0.4587,0.1337,-0.9223,739.1968,-88.7451,186.9507
626001481,0.7473,-0.0335,-2.0480,307.9224,243.9575,258.4229
626011476,1.4478,0.1743,-2.2580,-74.8291,397.1558,180.0537
626021481,1.6030,0.4665,-1.5378,-503.0518,559.9976,-18.6768
626031480,1.3406,0.4567,-0.7910,-613.8306,545.8984,-82.8247
626041482,1.1069,0.3300,0.1553,-533.7524,390.6250,-142.9443
626051479,0.8638,0.2602,0.4666,-399.9023,302.7344,-233.6426
626061481,0.2004,0.0334,0.7598,-278.8696,149.9023,-342.9565
626071480,-0.3496,-0.0079,1.3343,-296.5088,7.5073,-338.9893
626081480,-1.1113,0.2866,2.6978,-243.8354,-196.6553,-271.5454
626091474,-1.3699,0.6208,3.2474,-38.9404,-273.3154,-168.5181
626101480,-1.1335,0.8505,2.8365,242.9199,-283.1421,-28.6255
626111484,-0.9563,0.6516,2.0594,336.8530,-260.8643,24.7192
626121487,-0.7519,0.3115,0.7686,400.0854,-213.5620,82.8857
626131474,-0.5281,0.1779,-0.0524,355.1025,-125.1831,107.8491
626141480,-0.1767,0.0427,-0.8088,230.2856,12.1460,121.8872
626151479,0.3655,-0.0272,-1.2153,-81.2378,236.0229,94.4214
626161482,0.5330,0.0170,-0.9489,-273.4985,346.1914,30.9448
626171484,0.4800,0.0363,-0.2016,-454.7729,427.5513,-60.4248
626181485,0.4651,-0.0318,0.2542,-508.7280,442.5659,-104.6143
626191484,0.3628,-0.1407,0.9549,-534.1187,391.2354,-163.3911
626201480,0.0364,-0.1087,1.7120,-520.5078,273.9868,-187.9883
626211479,-0.6870,0.0664,3.1180,-330.0171,-29.3579,-195.8618
626221477,-1.0127,0.1103,3.8839,-82.6416,-257.0190,-181.1523
626231479,-1.2969,0.4638,4.1693,286.9263,-465.6372,-114.1968
626241481,-1.3425,0.3232,3.7449,498.2300,-496.7651,-52.3071
626251480,-1.0903,-0.0977,2.5484,705.0781,-484.5581,39.2456
626261477,-0.9006,-0.2430,1.7669,755.7983,-456.4819,95.8862
626271479,-0.8171,-0.1202,0.6216,749.6338,-380.5542,126.2207
626281477,-0.5312,-0.1429,-0.5007,717.1021,-235.4736,137.0850
626291479,0.6294,-0.2508,-2.2033,382.3242,97.8394,180.6641
626301481,1.0330,0.0886,-2.3759,3.2959,291.1987,112.3657
626311484,0.9111,0.3374,-1.4274,-357.5439,458.6792,-65.6128
626321480,0.6980,0.2307,-0.8168,-435.8521,473.6328,-120.1172
626331479,0.2173,-0.0318,0.0208,-502.5024,395.1416,-174.8657
626341485,-0.2056,-0.1246,0.8853,-524.4751,272.9492,-201.8433
626351479,-0.6594,0.3928,2.9561,-477.1729,-13.0615,-152.0386
626361481,-0.8520,0.8999,4.2193,-264.0991,-198.0591,-88.5010
626371479,-0.7627,1.1042,4.4573,124.8169,-300.9033,-43.2129
626381481,-0.7129,0.7565,2.9371,561.0962,-357.4219,13.9160
626391479,-0.6543,0.3376,1.8697,673.4009,-386.3525,66.2842
626401480,-0.6787,0.0800,0.2686,758.7891,-341.4917,82.3364
626411479,-0.5149,-0.1326,-1.2377,734.9243,-194.2749,102.3560
626421485,0.3208,-0.3438,-3.6823,374.2065,143.3716,154.6021
626431479,0.7952,-0.4205,-4.1296,-45.8984,353.5156,63.5376
626441480,0.6118,-0.3494,-2.8886,-557.8003,507.0190,-99.0601
626451484,0.4978,-0.4114,-1.5170,-751.4648,504.3335,-148.8647
