t,ax,ay,az,gx,gy,gz
265799477,-0.4831,-0.0094,0.9108,-12.0239,-0.2441,-2.5635
265809482,-0.4763,-0.0102,0.9279,-13.4277,-2.5635,-4.9438
265819482,-0.4694,-0.0207,0.9454,-13.9771,-3.1128,-5.9814
265829482,-0.4829,-0.0265,0.9965,-17.6392,-3.6011,-9.1553
265839482,-0.4975,-0.0221,1.0250,-15.9302,-6.5918,-10.4980
265849482,-0.4999,-0.0141,1.0267,-13.9160,-5.8594,-10.8643
265859482,-0.4963,-0.0146,0.9982,-8.1787,-6.4697,-12.6953
265869487,-0.5224,-0.0348,0.9796,-6.8970,-11.5356,-15.0146
265879482,-0.5620,-0.0390,0.9730,-8.0566,-25.5737,-13.7939
265889487,-0.5974,-0.0456,0.9865,-7.3853,-41.0156,-12.0239
265899481,-0.6313,-0.0417,1.0258,-3.9062,-70.2515,-7.3853
265909482,-0.6147,-0.0431,1.0214,1.6479,-95.0317,-2.5024
265919486,-0.6445,-0.0668,1.0365,12.5122,-152.4048,-2.9907
265929483,-0.6660,-0.0690,1.0746,19.4702,-197.3877,-2.5024
265939482,-0.6787,-0.0685,1.1312,33.6914,-268.7988,1.6479
265949487,-0.6638,-0.0463,1.1652,46.0205,-321.4111,6.7139
265959481,-0.5878,-0.0548,1.1525,73.7915,-411.2549,20.0806
265969482,-0.5422,-0.0246,1.1129,92.7124,-469.1772,26.9165
265979481,-0.3998,-0.0216,0.9472,107.4829,-530.8838,50.4761
265989482,-0.3373,0.0138,0.9533,102.0508,-542.5415,50.9644
265999481,-0.0927,0.0350,0.9767,80.0171,-510.0098,72.8149
266009482,0.0399,0.0335,1.3063,54.7485,-506.8970,63.7207
266019496,0.0237,0.0455,1.6893,88.6230,-546.6309,37.7808
266029482,-0.0024,-0.0177,1.6271,137.5122,-602.9053,33.2031
266039476,-0.1872,-0.0348,1.2968,198.9746,-722.5342,24.5972
266049487,-0.2370,-0.0666,0.8761,247.8638,-824.2187,28.4424
266059486,-0.4255,-0.0971,0.5514,286.0107,-971.9849,22.3999
266069482,-0.5012,-0.1420,-0.0157,316.8945,-959.2285,51.8799
266079481,-0.2548,-0.1518,-0.5533,286.3770,-902.8320,115.4785
266089482,0.1646,-0.0756,-0.6622,190.5518,-816.2842,156.2500
266099481,0.3453,-0.0263,-0.7865,170.8984,-783.1421,168.5181
266109482,0.6790,0.0350,-1.0755,138.8550,-746.7041,171.1426
266119481,0.7581,0.0033,-1.1688,125.9766,-761.3525,150.2686
