t,ax,ay,az,gx,gy,gz
117709482,-0.2167,0.0091,1.1810,-8.7280,1.8921,-17.1509
117719482,-0.2512,0.0103,1.1403,-5.0049,10.8643,-17.2729
117729482,-0.2753,0.0020,1.0392,-2.7466,20.3857,-12.5122
117739482,-0.2853,-0.0043,0.9804,-4.9438,19.3481,-10.7422
117749503,-0.3217,-0.0275,1.0048,-11.9629,6.8359,-8.3008
117759482,-0.3205,-0.0402,1.0602,-16.2964,1.7700,-5.6763
117769477,-0.2653,-0.0114,1.1622,-21.3623,0.0000,2.6245
117779487,-0.2280,-0.0085,1.1806,-17.0898,2.5024,4.0283
117789482,-0.1899,0.0033,1.0954,-8.3008,4.1504,4.7607
117799482,-0.1669,0.0057,1.0275,-7.8735,-1.1597,4.4556
117809482,-0.1596,0.0206,0.9708,-9.3994,-21.0571,0.0610
117819482,-0.1386,0.0577,0.9491,-7.4463,-44.4946,-3.0518
117829482,-0.1833,0.0296,0.9816,-1.5869,-97.2290,-14.1602
117839482,-0.2687,-0.0089,0.9935,9.8877,-136.7187,-21.9116
117849482,-0.3330,-0.0492,1.0011,16.4795,-200.0732,-16.0522
117859477,-0.3771,-0.0885,1.0204,24.1699,-255.1270,-8.4839
117869483,-0.4584,-0.0749,0.9537,49.2554,-371.5820,9.4604
117879477,-0.4313,-0.1332,0.9335,68.6035,-483.3374,24.9023
117889486,-0.3698,-0.0717,0.8705,107.1777,-682.6172,44.4336
117899476,-0.1887,0.0101,0.7484,143.4937,-829.5898,51.2085
117909482,0.2203,0.1185,0.5468,186.0962,-1043.3350,59.8145
117919481,0.4000,0.2122,0.4428,217.4072,-1158.0200,50.2319
117929482,0.5018,0.1964,0.2311,260.4980,-1245.9106,38.5742
117939481,0.3538,-0.0656,0.1449,304.1992,-1326.9043,40.3442
117949482,0.1627,-0.1225,-0.0821,332.2754,-1325.3174,71.6553
117959481,0.2383,-0.2675,-0.8275,358.3374,-1268.4937,165.7715
117969482,0.4068,-0.3227,-1.5160,335.8154,-1165.1001,219.7876
117979476,1.1993,-0.3524,-2.5963,210.3271,-964.9658,304.6265
117989482,1.9495,-0.2536,-2.5987,61.7065,-881.1646,321.1670
117999486,2.4515,-0.0111,-1.7928,-88.5010,-864.4409,250.3052
118009482,2.4781,0.1258,-1.1991,-89.5996,-902.1606,177.7954
118019486,2.1651,0.1632,-0.7794,-56.2744,-851.4404,66.0400
118029482,1.9996,0.1600,-0.3717,-69.8242,-743.7744,21.8506
118039481,1.2508,0.1700,0.2848,-90.3931,-459.0454,-65.3076
118049482,0.6168,0.0799,0.3373,-58.0444,-252.1362,-96.2524
118059486,-0.3422,-0.1518,-0.1537,-12.7563,20.5688,-107.9102
118069482,-0.7070,-0.2150,-0.4816,6.1035,137.6953,-90.5151
118079476,-0.5739,-0.2211,-1.0621,40.6494,257.6904,-44.4336
118089482,-0.1208,-0.1628,-1.5648,30.7007,333.6792,-16.4795
118099481,0.3355,-0.0793,-1.6158,-27.4658,448.7915,-16.7847
118109482,0.5374,-0.0397,-1.3990,-61.8896,549.1943,-23.0713
118119486,0.9295,0.0379,-1.0055,-110.1074,758.4839,-36.1328
118129477,1.1048,0.1175,-0.8353,-132.7515,909.1187,-46.2646
118139481,1.0342,0.0633,-0.7294,-136.5356,1105.8350,-71.2891
118149487,1.0399,-0.0070,-0.6183,-149.6582,1218.5669,-63.8428
118159503,1.0992,-0.0104,-0.4088,-167.1753,1326.9043,-45.7153
118169482,1.2718,0.0118,-0.1463,-169.4946,1447.3877,-19.8364
118179481,1.2403,0.0650,-0.0248,-161.9873,1476.9897,-10.7422
118189482,1.0689,0.1400,-0.1629,-126.4038,1415.3442,-1.3428
118199481,0.9368,0.1217,-0.0704,-118.4692,1263.4888,-7.2021
118209482,0.6624,0.2074,0.3634,-81.3599,914.7339,-47.4854
118219481,0.3753,0.1878,0.5892,-41.5649,672.7905,-80.4443
118229482,-0.0268,0.0560,0.6564,2.4414,434.8755,-110.7178
118239481,-0.1562,-0.0614,0.5358,7.8735,398.5596,-105.5908
118249483,-0.0087,-0.0707,0.6823,-55.7251,441.4673,-69.8853
118259486,0.0950,-0.0548,0.8729,-63.5376,466.3086,-55.9082
118269482,0.1141,-0.0253,0.7875,-54.1992,505.6763,-41.7480
118279481,0.2566,-0.0475,0.5922,-69.3359,501.2207,-24.1089
118289482,0.1138,0.0194,0.7501,-87.5244,411.6211,-43.5181
118299476,-0.0214,-0.0072,0.8451,-84.7778,317.1387,-56.9458
