t,ax,ay,az,gx,gy,gz
301969502,-0.4995,0.0223,1.0255,-9.3384,-19.8364,-9.0942
301979481,-0.4392,0.0272,1.0426,-8.1787,-43.0908,-4.3335
301989482,-0.3898,0.0235,1.0758,-8.4839,-57.9834,-2.9297
301999482,-0.3596,0.0304,1.0922,-3.6011,-77.0264,-6.5308
302009483,-0.3654,0.0035,1.0775,4.3945,-93.0176,-8.3008
302019481,-0.3622,-0.0277,0.9955,10.9253,-116.4551,-9.1553
302029482,-0.3747,0.0040,0.9777,6.8359,-147.5220,-9.0942
302039481,-0.4399,0.0135,0.9938,12.6953,-232.1167,-12.0850
302049482,-0.4594,0.0213,0.9987,27.7100,-315.9180,-7.8125
302059486,-0.4411,-0.0238,1.0812,44.9219,-416.3818,-6.7749
302069482,-0.3447,-0.0360,1.0404,81.1768,-508.4229,-1.8921
302079481,-0.1796,-0.0119,0.9655,84.4727,-539.7949,15.6860
302089482,-0.0273,0.0804,1.1432,63.0493,-590.4541,12.7563
302099482,0.0799,0.1309,1.2518,82.0923,-637.1460,17.2119
302109482,0.2864,0.1756,1.0653,131.7139,-702.2095,18.4937
302119481,0.4283,0.1913,0.8253,151.3672,-752.1362,20.9961
302129482,0.4222,0.1776,0.7628,158.1421,-829.1016,-1.8311
302139481,0.4698,0.0682,0.5809,169.9219,-804.5654,-0.1221
302149482,0.7859,0.1454,0.5551,128.2349,-753.7231,35.3394
302159481,0.8807,0.2264,0.7323,102.9663,-725.3418,31.9214
302169483,0.9297,0.2445,0.5956,142.3950,-703.9795,41.2598
302179481,0.9024,0.2125,0.2865,156.8604,-694.7021,49.2554
302189482,0.8829,0.1820,-0.0348,140.4419,-709.7168,63.7817
302199481,0.8719,0.2022,-0.1207,129.8218,-738.5864,67.4438
302209482,0.8860,0.1424,-0.2013,131.1035,-832.3364,81.0547
302219477,0.8797,0.0992,-0.2860,141.9678,-909.5459,86.6699
302229482,0.9644,0.0643,-0.5135,154.9072,-981.5063,100.2808
302239481,1.1246,0.1141,-0.7313,145.3857,-986.6333,110.4126
302249482,1.0562,0.1981,-0.6041,96.6187,-941.4062,68.6646
302259481,0.7420,0.1956,-0.2494,67.6880,-872.9858,28.6865
302269506,0.3055,0.2047,0.0932,84.4116,-772.3999,-0.4883
302279481,-0.0827,0.0726,0.1395,109.6191,-706.4819,-24.9023
302289482,-0.3315,-0.0617,-0.0101,146.5454,-648.4985,-29.1138
302299481,-0.6401,-0.2582,-0.7206,193.0542,-563.5376,-16.0522
302309483,-0.7282,-0.3808,-1.1407,195.6787,-525.2686,-2.7466
302319482,-0.5275,-0.3900,-1.8639,173.7061,-461.3647,49.6216
302329482,-0.3195,-0.3261,-2.1141,116.2720,-416.0156,65.2466
302339486,-0.2961,-0.1562,-1.5682,20.2026,-371.6431,44.7998
302349482,-0.4274,-0.0739,-1.0650,-2.9297,-328.4912,34.3628
302359486,-0.3144,-0.1051,-0.8287,12.3291,-233.7646,46.0815
302369482,-0.1191,-0.1112,-0.9615,16.7847,-157.6538,50.1709
302379481,0.1197,-0.1491,-1.0362,-6.0425,-41.0156,26.8555
302389482,0.1475,-0.1330,-1.0931,-15.5640,41.5039,-1.1597
302399486,-0.1552,-0.1420,-1.2286,-38.8184,155.5786,-47.7905
302409482,-0.4855,-0.1410,-1.0843,-56.6406,202.7588,-69.8853
302419482,-0.4731,-0.1459,-0.9723,-55.1147,288.0859,-58.3496
302429482,-0.2097,-0.1320,-1.1627,-51.3306,379.1504,-54.3823
302439486,-0.0090,-0.1225,-1.4918,-82.3975,544.1284,-78.3081
302449483,-0.0217,-0.1344,-1.5445,-117.6758,645.5688,-98.7549
302459476,-0.0627,-0.1147,-1.5260,-160.7056,772.8882,-112.4268
302469482,-0.0309,-0.1142,-1.4535,-179.7485,845.9473,-120.6665
302479481,-0.0187,-0.1322,-1.4068,-209.2285,973.1445,-132.4463
302489482,-0.0392,-0.1339,-1.3627,-231.9946,1067.2607,-139.0991
302499476,-0.2372,-0.0968,-1.2110,-263.5498,1175.7813,-139.2822
302509482,-0.4684,-0.0771,-1.0777,-269.2261,1208.0688,-123.2300
302519481,-0.4416,-0.0463,-0.8253,-273.5596,1221.7407,-72.8149
302529483,-0.2507,-0.0273,-0.4437,-284.8511,1212.2192,-38.6963
302539481,-0.0336,-0.0314,-0.0526,-280.4565,1181.6406,-12.2070
302549482,0.3067,-0.0382,0.7611,-275.3296,1131.4697,0.7324
302559482,0.7212,0.0494,1.3207,-269.3481,1093.8721,16.7236
302569487,1.1431,0.2308,1.7384,-196.5332,999.2676,-4.5776
302579476,0.9522,0.1956,1.5568,-114.5630,902.8320,-45.2271
302589482,0.2925,0.0352,0.8798,-52.0630,791.6260,-67.6880
302599481,0.0428,-0.0011,0.6178,-56.0303,730.0415,-52.1851
302609482,-0.1640,0.0067,0.5089,-54.7485,629.3945,-37.0483
302619481,-0.3354,-0.0043,0.6246,-55.7861,569.0308,-36.4990
302629482,-0.3688,-0.0426,0.6137,-57.7393,527.8320,-16.8457
302639481,-0.3669,-0.0006,0.8881,-76.8433,491.2109,-11.7798
302649482,-0.2028,0.0555,1.1298,-75.3174,496.3989,-3.3569
302659481,-0.0363,0.1248,1.2362,-76.3550,476.6846,-2.1973
302669483,-0.3522,0.1165,1.1837,-38.4521,376.2817,-31.1890
302679481,-0.5517,0.0648,0.9796,-17.3950,300.4761,-33.1421
302689483,-0.6625,0.0040,0.7243,-12.5732,208.5571,-29.7241
302699481,-0.7961,0.0182,0.7980,-25.5127,150.9399,-29.4800
302709482,-0.9665,0.0443,1.0145,-27.1606,80.6885,-20.5688
302719481,-0.9880,0.0240,1.1569,-18.2495,30.5176,-4.5776
302729483,-0.6689,0.0296,1.1745,-3.7842,10.5591,29.0527
302739482,-0.3117,0.0973,1.2853,-10.4980,15.6860,38.3301
302749477,-0.0329,0.1402,1.4384,-11.1694,51.9409,17.8223
302759481,-0.1286,0.1417,1.4313,-5.7373,59.9365,-5.0659
302769482,-0.3747,0.0865,1.3078,11.4136,41.1987,-25.5737
302779481,-0.6491,0.0211,0.9215,34.5459,-28.6255,-31.2500
302789482,-0.7773,-0.0065,0.7597,29.0527,-83.1909,-26.9775
302799486,-0.8246,0.0533,0.9335,5.8594,-141.1743,-8.4839
302809487,-0.6010,0.0675,1.0756,-3.3569,-125.0000,12.6953
302819482,-0.3059,0.0811,1.3195,-18.8599,-43.0908,18.0664
302829482,-0.2133,0.0877,1.4042,-21.6064,19.6533,14.2822
302839487,-0.1603,0.0792,1.3270,-8.6060,69.8853,5.9204
302849482,-0.1701,0.0663,1.1166,5.9814,66.2842,-1.9531
302859481,-0.2426,0.0833,0.9608,6.1646,23.6816,-16.7847
302869483,-0.3173,0.0753,0.9506,5.8594,-9.1553,-25.0244
302879481,-0.5544,0.0360,0.9557,4.7607,-42.7246,-31.3110
302889486,-0.6806,0.0189,0.9804,-0.4272,-37.7197,-22.3999
302899482,-0.6608,0.0328,1.1073,-11.9629,-6.4697,-1.8921
302909482,-0.5678,0.0758,1.1859,-10.6812,18.0664,9.7656
302919482,-0.3596,0.0919,1.1120,-0.3052,33.5083,22.2168
302929482,-0.2426,0.0838,1.0358,2.3804,28.3203,21.9116
302939487,-0.1445,0.1256,0.9845,3.9062,6.5918,12.3291
302949487,-0.1855,0.1143,0.9562,6.5918,-11.4136,-0.0610
302959477,-0.2836,0.0833,0.9288,6.9580,-38.6963,-6.9580
302969482,-0.3129,0.0924,0.9516,7.5073,-51.9409,-9.2773
302979482,-0.3640,0.0736,0.9235,10.8643,-46.5088,-10.4980
