t,ax,ay,az,gx,gy,gz
395439477,-0.4965,0.1131,0.9513,-4.8828,23.9868,-15.3809
395449487,-0.4921,0.1161,0.9164,-5.0049,12.3291,-13.4888
395459487,-0.4963,0.1161,0.9240,-6.8359,0.7324,-15.0146
395469482,-0.4877,0.1234,0.9569,-9.6436,-14.5874,-16.1743
395479482,-0.4814,0.1283,0.9992,-10.1929,-23.2544,-17.3340
395489482,-0.5073,0.1112,1.0336,-8.6060,-26.1841,-22.7051
395499477,-0.5197,0.1156,1.0329,-7.6904,-24.6582,-19.9585
395509482,-0.5258,0.1339,0.9977,-4.2114,-26.3672,-15.8081
395519482,-0.5412,0.1244,0.9725,0.1221,-35.5225,-13.4888
395529482,-0.5283,0.1278,0.9235,2.6855,-58.9600,-6.5308
395539482,-0.4631,0.1527,0.9159,2.8687,-85.3271,-0.4883
395549482,-0.3796,0.1544,0.9293,8.1177,-158.3252,-2.5635
395559482,-0.3923,0.1412,0.9623,18.3105,-234.7412,-14.7705
395569482,-0.4352,0.1295,1.0265,29.6631,-325.8667,-24.3530
395579482,-0.4221,0.0809,1.1242,57.0679,-472.7173,-23.4985
395589482,-0.3615,0.0897,1.1112,80.8716,-568.6646,-18.6768
395599482,-0.2358,0.1139,0.9891,109.7412,-705.0781,-7.8735
395609482,-0.1774,0.0882,0.8676,126.6479,-798.2788,-4.5776
395619482,-0.0795,0.0660,0.7760,157.2876,-966.7358,4.8218
395629482,-0.0768,0.0660,0.7670,185.3027,-1092.5903,5.4932
395639482,0.0394,0.0694,1.1090,237.2437,-1283.1421,9.6436
395649483,0.2015,0.0836,1.5258,282.7148,-1370.8496,9.9487
395659483,0.4949,0.2191,1.6200,427.9785,-1455.6274,32.2876
395669482,0.7266,0.2391,1.1676,527.2827,-1453.3081,45.4102
395679482,1.0062,0.2286,0.1010,559.8755,-1304.8096,38.3911
395689482,0.9239,0.1519,-0.5011,493.1030,-1118.4692,12.2681
395699483,0.2708,0.0475,-0.7738,333.6182,-777.7100,-45.2881
395709482,-0.3117,-0.0385,-0.8317,253.6011,-588.6230,-33.9355
395719483,-0.7890,-0.0644,-0.6517,205.1392,-512.2681,26.0010
395729477,-0.7973,-0.1430,-0.6127,230.9570,-562.6831,70.5566
395739483,-0.3681,-0.0934,-1.0096,268.6768,-604.6753,122.8027
395749482,-0.1716,-0.1098,-1.5140,275.9399,-565.9790,126.1597
395759483,-0.0060,-0.2196,-1.8492,218.4448,-447.9370,107.2998
395769483,0.2454,-0.1427,-1.9025,158.0200,-346.7407,110.0464
395779482,0.5838,-0.0712,-1.8119,81.7871,-223.2056,80.2612
395789482,0.5079,-0.0500,-1.6634,47.7295,-169.0063,44.6777
395799482,0.1934,-0.0705,-1.5199,28.8696,-120.3003,11.9629
395809482,-0.0412,-0.1635,-1.4176,6.0425,-45.5933,7.7515
395819487,0.0499,-0.1796,-1.4027,-13.7939,27.7100,12.1460
395829482,0.2723,-0.1947,-1.5116,-62.9883,187.7441,-4.5776
395839477,0.2964,-0.1818,-1.5113,-108.6426,316.0400,-35.4004
395849482,0.1558,-0.1825,-1.6109,-165.9546,527.0386,-80.0171
395859482,0.0377,-0.1452,-1.7967,-200.0732,662.1704,-102.4170
395869482,-0.3146,-0.1208,-1.9383,-268.6157,849.4873,-133.2397
395879482,-0.4936,-0.1618,-1.5445,-330.2612,952.4536,-135.3149
395889486,-0.2453,-0.1791,-0.9064,-393.2495,1113.3423,-92.7734
395899481,0.2261,-0.0907,-0.4806,-422.9736,1219.3604,-70.2515
395909487,0.8362,0.0016,-0.1385,-429.1382,1391.5405,-79.1016
395919486,1.1148,0.0521,0.0382,-429.3213,1491.5161,-106.8115
395929482,0.9712,-0.0055,-0.0721,-384.5215,1577.4536,-169.8608
395939481,0.7357,-0.0392,-0.1720,-362.4878,1565.7349,-199.4629
395949487,0.3201,-0.0995,-0.2086,-310.1807,1432.4951,-236.0840
395959481,0.0577,-0.2030,-0.2062,-260.6201,1284.3628,-260.1929
395969482,-0.3757,-0.3048,-0.4137,-209.8999,1065.1245,-289.7339
395979482,-0.9487,-0.3681,-0.5038,-209.4116,939.2090,-304.1992
395989482,-2.0085,-0.3898,-0.1720,-267.1509,810.6689,-260.8643
395999481,-2.2902,-0.3149,0.3629,-294.5557,746.9482,-179.9316
396009482,-2.1279,-0.1618,1.0475,-268.0054,627.0142,-56.2134
396019481,-1.9675,-0.1671,1.3327,-225.0366,531.0669,0.4272
396029482,-1.7639,-0.1349,1.5182,-178.8940,435.1196,46.2036
396039481,-1.2858,-0.0722,1.7348,-103.9429,292.1753,88.6841
396049482,-0.9985,0.0328,1.6456,-48.8892,213.9282,98.5718
396059481,-0.7885,0.0601,1.1732,8.0566,106.9336,92.0410
396069482,-0.8220,0.0326,0.8725,28.0151,19.6533,76.2939
396079482,-0.8413,0.0233,0.5670,41.9312,-142.2119,63.2324
396089487,-0.8674,0.0272,0.4767,42.3584,-251.7700,54.8096
396099481,-0.9484,0.0377,0.3934,43.7622,-384.3384,49.2554
396109482,-0.9706,0.0001,0.4064,36.6821,-452.9419,55.1758
396119486,-0.9667,0.0277,0.6923,28.5645,-589.7827,75.9888
396129477,-0.9204,-0.0116,0.8163,49.6216,-711.5479,98.2056
396139481,-0.6064,-0.0128,0.7973,80.6274,-884.0332,141.3574
396149482,-0.1562,0.0111,0.6576,93.2007,-969.6045,164.3066
396159482,0.6107,0.1412,0.5353,100.1587,-1054.1382,155.2734
396169482,0.9605,0.1327,0.3493,103.2104,-1019.0430,120.6665
396179481,1.2156,0.1944,0.5536,54.0161,-916.6870,62.9883
396189482,0.8580,0.1993,1.0077,53.8330,-861.9385,22.3999
396199482,0.6568,0.1205,0.7059,89.4775,-700.8667,45.8374
396209487,0.8724,0.1161,0.3710,63.1104,-531.3110,77.3926
396219481,1.4412,0.1590,0.3737,-5.6763,-196.2891,89.6606
396229482,1.7601,0.1981,0.5551,-66.4063,53.2227,76.7822
396239482,1.5342,0.2506,0.9933,-85.6934,240.7837,12.9395
396249482,1.2698,0.2464,0.9926,-59.5703,243.4692,-13.4277
396259481,1.0128,0.2386,0.8429,-30.3345,191.2231,-34.1187
396269482,0.7007,0.1519,0.6662,-13.6719,92.4072,-50.4150
396279499,0.5193,0.1393,0.8380,-22.0947,51.6357,-48.1567
396289477,0.4041,0.1571,1.0695,-24.4751,62.3169,-25.8789
396299481,0.3626,0.1578,1.0990,-15.8691,99.5483,-13.2446
396309487,0.4454,0.1329,0.9518,-10.8643,198.6694,10.3760
396319481,0.5838,0.1226,0.8734,-14.3433,248.8403,21.5454
396329487,0.8145,0.1019,0.7096,-9.7656,244.5679,22.7051
396339481,0.9129,0.1178,0.6278,-5.1880,196.0449,9.5825
396349482,0.8123,0.1190,0.5243,-0.6104,109.3140,-18.9209
396359481,0.6578,0.1092,0.5543,-3.8452,58.5938,-34.3628
396369482,0.4175,0.1038,0.7028,-14.0381,10.9253,-39.7949
396379481,0.3062,0.1109,0.8244,-20.8130,3.4180,-33.3862
396389482,0.2920,0.1092,0.9459,-26.1841,31.9824,-15.5029
396399481,0.3448,0.1153,0.9694,-26.8555,57.8613,-4.5166
